timestamp,open,high,low,close,volume
1770478200000,69268.52,69762.46,69178.97,69310.96,766.22035
1770479100000,69310.97,69483.24,69048.01,69151.5,433.33439
1770480000000,69151.5,69898,69001.5,69456.43,2296.22427
1770480900000,69456.42,69756.69,69270.2,69305.5,674.83589
1770481800000,69305.5,69484.69,69142,69332.39,306.77046
1770482700000,69332.39,69368,68822.51,68957.16,489.63121
1770483600000,68957.16,69093.09,68648.66,68744.85,532.30854
1770484500000,68744.85,69131.8,68531.5,69077.29,347.03592
1770485400000,69077.29,69408,68949.55,69303.49,247.52546
1770486300000,69303.49,69333.82,69058,69188.81,134.08915
1770487200000,69188.81,69279.82,69009.09,69050.43,158.17071
1770488100000,69050.42,69538.33,69026.37,69353.65,251.95073
1770489000000,69353.66,69658.61,69266.94,69512.77,235.8173
1770489900000,69512.76,69690.89,69419.34,69514.11,169.2881
1770490800000,69514.11,69577.43,69289.4,69352.83,164.34893
1770491700000,69352,69542,69342.01,69430.38,131.6482
1770492600000,69430.39,69488.68,69284.61,69348.08,96.32963
1770493500000,69348.07,69501.99,69266.66,69373.61,157.34327
1770494400000,69373.61,69420.08,69252.72,69312.52,96.3775
1770495300000,69312.51,69489.84,69300,69443.73,132.00668
1770496200000,69443.72,69623.75,69380,69547.1,106.04081
1770497100000,69547.1,69728.83,69508,69631.18,96.78221
1770498000000,69631.18,69699.16,69451.31,69522.71,90.22043
1770498900000,69522.7,69605.5,69423.25,69500.01,71.60235
1770499800000,69500.01,69648,69458.93,69458.93,68.41764
1770500700000,69458.03,69498,69356.16,69497.99,92.69209
1770501600000,69497.99,69727.86,69461.12,69554.53,261.9696
1770502500000,69554.54,69574.38,69413.43,69574.37,93.64267
1770503400000,69574.37,69574.37,69370.48,69400,51.04734
1770504300000,69399.99,69486.2,69325.67,69399.34,62.9959
1770505200000,69399.34,69431.51,68863.13,69075.56,250.64324
1770506100000,69075.57,69120,68787.34,69040.81,165.99889
1770507000000,69040.82,69292.02,69040.82,69259.35,189.25932
1770507900000,69259.35,69462.42,69251.12,69289.38,93.51449
