timestamp,open,high,low,close,volume
1776478800000,77356.99,77372.08,77350,77350.01,3.9159
1776478860000,77350.01,77350.02,77333,77344.29,7.87288
1776478920000,77344.28,77373.86,77344.28,77373.86,2.40146
1776478980000,77373.85,77420.08,77373.85,77382,35.68714
1776479040000,77382,77382,77346.76,77346.76,3.0258
1776479100000,77346.77,77346.77,77318.96,77328.2,2.59114
1776479160000,77328.2,77337.19,77311.22,77326.28,3.20354
1776479220000,77326.27,77372.19,77326.27,77355.39,11.04934
1776479280000,77355.38,77355.39,77326.27,77329.58,2.45656
1776479340000,77329.59,77329.59,77326.27,77326.27,0.38133
1776479400000,77326.28,77326.28,77294.33,77294.33,3.43194
1776479460000,77294.33,77294.34,77283.43,77283.43,0.82477
1776479520000,77283.43,77283.43,77270.54,77279.63,3.94293
1776479580000,77279.62,77296.5,77279.62,77289.29,2.68429
1776479640000,77289.3,77289.3,77270.53,77274.8,1.1771
1776479700000,77274.8,77274.8,77270.53,77270.53,0.91988
1776479760000,77270.53,77283.43,77266.66,77283.43,2.82716
1776479820000,77283.43,77360.18,77283.42,77356.47,3.59397
1776479880000,77356.46,77401.05,77356.46,77373.43,7.09955
1776479940000,77373.42,77385.7,77355.02,77355.02,2.2533
1776480000000,77355.02,77411.27,77354.39,77354.4,3.98751
1776480060000,77354.4,77389.81,77346.76,77380.01,3.3891
1776480120000,77380,77386.31,77380,77386.31,1.3901
1776480180000,77386.31,77386.31,77380,77380,1.05059
1776480240000,77380,77380,77293.71,77317.24,8.03245
1776480300000,77317.24,77320,77314.34,77314.34,0.7166
1776480360000,77314.35,77320,77314.34,77320,2.59932
1776480420000,77320,77329.63,77319.99,77329.62,2.82279
1776480480000,77329.62,77332.78,77314.34,77322.01,5.32903
1776480540000,77322,77322.01,77302.93,77310.68,4.87975
1776480600000,77310.68,77310.68,77289.05,77289.05,3.25569
1776480660000,77289.05,77304.53,77289.05,77290.5,1.93308
1776480720000,77290.5,77290.51,77285.88,77285.89,1.58001
1776480780000,77285.89,77285.89,77279,77285.89,1.7687
1776480840000,77285.88,77307.16,77285.88,77288.21,4.02787
1776480900000,77288.21,77309.88,77288.2,77309.87,0.92944
1776480960000,77309.87,77309.88,77300.48,77304.25,3.02777
1776481020000,77304.26,77304.26,77298.47,77298.47,2.17959
1776481080000,77298.48,77298.48,77298.47,77298.47,0.42746
1776481140000,77298.47,77306.68,77284.46,77292.52,2.20361
1776481200000,77292.53,77296.95,77272.89,77272.89,1.48212
1776481260000,77272.9,77272.9,77240.7,77240.71,2.49108
1776481320000,77240.7,77259.7,77229.82,77251.97,3.30653
1776481380000,77251.97,77269.12,77251.96,77267.19,2.43292
1776481440000,77267.19,77295.09,77267.18,77295.09,1.91768
1776481500000,77295.08,77295.09,77256.51,77256.51,1.32611
1776481560000,77256.51,77280.86,77256.51,77275,1.41909
1776481620000,77274.99,77279.53,77265.45,77279.52,1.28379
1776481680000,77279.52,77285.56,77269.24,77285.56,1.41497
1776481740000,77285.55,77295.09,77285.55,77295.09,1.10908
1776481800000,77295.08,77295.09,77275.26,77275.27,1.32322
1776481860000,77275.27,77275.27,77269.33,77269.33,0.85697
1776481920000,77269.34,77295.09,77269.34,77295.09,0.78707
1776481980000,77295.08,77295.08,77260.27,77264.65,1.34257
1776482040000,77264.65,77264.65,77257.86,77257.86,3.46923
1776482100000,77257.87,77257.87,77243,77243,2.13374
1776482160000,77243,77243,77213.71,77231.38,2.47504
1776482220000,77231.38,77246.34,77231.37,77244.58,2.66302
1776482280000,77244.58,77250,77244.58,77250,1.40061
1776482340000,77249.99,77258.07,77245.7,77251.28,3.75729
1776482400000,77251.28,77251.28,77240.7,77240.7,0.50328
1776482460000,77240.7,77240.7,77215.46,77215.46,1.9354
1776482520000,77215.46,77215.46,77213.71,77213.72,1.44248
1776482580000,77213.72,77215.47,77213.71,77215.47,0.91443
1776482640000,77215.47,77240.71,77215.46,77240.7,3.21792
1776482700000,77240.7,77240.71,77231.28,77231.29,1.58145
1776482760000,77231.28,77231.29,77216.75,77216.75,2.30957
1776482820000,77216.75,77216.75,77188,77188,9.398
1776482880000,77188.01,77188.01,77185.88,77185.89,1.5596
1776482940000,77185.89,77185.89,77155.01,77185.89,9.93636
1776483000000,77185.89,77185.89,77173.76,77185.88,1.64843
