timestamp,open,high,low,close,volume
1563451200000,9751.31,10788,9252,10627.16,56547.813554
1563494400000,10628.64,10769.71,10210.39,10282.65,31370.906054
1563537600000,10282.77,10650,10121.84,10504.29,25176.026079
1563580800000,10505.78,10689,10350,10571.65,17889.130331
1563624000000,10568.2,11068.99,10462.02,10740.23,29442.769517
1563667200000,10740.27,10817.9,10460.01,10585.11,19752.231365
1563710400000,10585.11,10649.88,10288,10589.45,19082.05657
1563753600000,10590.15,10683.16,10407.3,10562,15066.643454
1563796800000,10559.64,10588,10100,10340.31,25401.311385
1563840000000,10343.08,10343.97,9883,10025,24228.741862
1563883200000,10025,10227.98,9822,9864.91,23395.628848
1563926400000,9864.78,9870.22,9593.06,9721.48,20059.647604
1563969600000,9721.5,9937,9525,9763.28,23415.732773
1564012800000,9763.4,10175,9720.03,10066.42,18271.644977
1564056000000,10066.18,10156.6,9798.89,9879.87,19601.709751
1564099200000,9882.15,9882.15,9637,9791.64,14924.1258
1564142400000,9791.33,9889.98,9704,9824,12243.337417
1564185600000,9824,10188.66,9440,9525.81,26661.942583
1564228800000,9525.81,9541.47,9333,9476.52,17147.835718
1564272000000,9478.92,9579,9370,9534.98,9259.232696
1564315200000,9535,9594.99,9165,9541.54,20141.790241
1564358400000,9541.54,9729,9395,9484.96,14844.586396
1564401600000,9484.51,9693.98,9411.31,9507.64,14177.351015
1564444800000,9509.07,9564.86,9402,9522.9,13763.867068
1564488000000,9524.81,9714.28,9502.21,9574.21,18772.501766
1564531200000,9575,9809.99,9555,9758.1,15565.006398
1564574400000,9758.1,10109.8,9755.64,10080.53,23950.348162
1564617600000,10080.53,10155.06,9863.46,9962.86,16066.217673
1564660800000,9962.86,10467.86,9956,10374.99,25661.419355
1564704000000,10375,10570,10281.35,10467.17,18180.579686
1564747200000,10467.08,10670,10350,10523.75,24809.864535
1564790400000,10523.75,10875.89,10497.93,10743.92,19531.711223
1564833600000,10741.97,10904.77,10662.15,10816.86,14270.607601
1564876800000,10816.86,10897,10552,10668.56,15844.473766
1564920000000,10669.23,11040,10630.84,10929.23,24080.271375
1564963200000,10929.99,11848,10927.8,11777.64,38449.97944
1565006400000,11776.52,11937.52,11653.12,11828.8,26703.694273
1565049600000,11830,12330.7,11570,11777.65,44814.852038
1565092800000,11775.79,11836,11226.7,11481.69,31890.537837
1565136000000,11481.69,11745.81,11382.84,11743.94,22161.237229
1565179200000,11743.09,12141.17,11487,11975.03,47012.153124
1565222400000,11975.04,12017.75,11757,11826.85,20481.063355
1565265600000,11825.67,12060,11521,11999.77,30726.193819
1565308800000,11994.17,12045.68,11700,11705.01,21458.82319
1565352000000,11705.03,11965,11700,11879.99,17968.329398
1565395200000,11879.98,11985,11350,11395.23,20869.542081
1565438400000,11395.23,11517,11270,11309.31,21763.544967
1565481600000,11309.24,11482.86,11112.11,11469.94,15023.87574
1565524800000,11469.63,11600,11301,11549.97,11749.03117
1565568000000,11539.08,11577.89,11305.55,11328.01,8550.341207
