st1,st2
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
112.54581950294732,107.97543476728107
112.90310541367676,109.84690934015738
112.30508272771986,110.99905831591097
110.85365744271037,111.35661876177348
108.74333976862135,110.92397140354863
106.23892462044755,109.78679195975951
103.64409586100508,108.1038189240327
101.26565439681481,106.08961492949184
99.37868205590502,103.99061052071445
98.19757230280675,102.05774302764134
97.85659208055664,100.51944405999737
98.40178140701418,99.55851408002566
99.79396110399783,99.29561580630573
101.92083667852313,99.78090441036225
104.61501056335108,100.99395243711264
107.67433963450408,102.85089762570536
110.8814963458434,105.21687185737797
114.0206178398289,107.92139204822932
116.8902325699235,110.77451955266649
119.31286585059627,113.58211674877728
121.14252078343476,116.15925666462002
122.27141615599164,118.34155052094101
122.63692277053191,119.99465237850349
122.22873756093031,121.0223600425144
121.09526790494733,121.37354340599177
119.34731806984773,121.04768902132817
117.15678723441961,120.09832634986729
114.74839082847001,118.63320199672118
112.38341210400677,116.80997299904898
110.33599893425533,114.82650184860593
108.86421218566029,112.90554826446262
108.1795044783255,111.27464581621106
108.4191844835196,110.14301602589389
109.6264435937495,109.67825813274685
111.74161629975049,109.98602816104554
114.6066501116576,111.09583231488709
117.98259625379787,112.95537126969366
121.57773307581742,115.43467997111289
125.0821503059135,118.33982338385339
128.20361746699334,121.43441397689669
130.6995284501467,124.46600205242598
132.40063877488237,127.1936901589099
133.22396933363612,129.41326507203033
133.17426612025795,130.97671770948028
132.33534294064563,131.8040943866934
130.85409624512894,131.88695618883693
128.9207006775812,131.28403908544652
126.74839055438959,130.11074957422608
124.55542434275895,128.52472143221263
122.55059540904846,126.70973597490897
120.9223573994742,124.85993155103303
119.8306317483614,123.16555949266224
119.39991338150791,121.80080046192852
119.71248088491855,120.91355163989189
120.80125729168374,120.61678809435973
122.64290767686418,120.98115046225932
125.15276004225012,122.02876505412118
128.1837570812335,123.72881652939944
131.5316409119889,125.99586867524256
134.94785443643588,128.69216836337606
138.16031537790022,131.63503131210587
140.90055714139967,134.6098543251208
142.9341175953152,137.38840118556934
144.0898924653362,139.7509452077142
144.28377232849027,141.50986085965945
143.53240673831147,142.53158653970758
141.95433553918397,142.75372282317767
139.75774519581202,142.19447363876452
137.2163489957044,140.95264019155246
134.63689792691332,139.19777153671973
132.3231926468278,137.15160228797524
130.54191361313164,135.0632721706845
129.49504341233953,133.18175868273178
129.30226429258488,131.72928603943276
