k,d
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
22.979458250180002,61.258241405004455
14.841769766344251,51.195978117652885
20.343004679987718,41.96707667390497
26.62513409314209,34.21374802363955
27.915892596187984,28.180948640106035
26.935966889836763,24.658319761938596
29.10809017620745,24.10704520741233
36.882827969564076,26.093240881610054
56.2251820941338,32.00515692843713
63.352180211099615,38.14932486145312
71.01507103562844,44.49074442466546
72.21319166238689,50.81893000555101
74.85776509584265,57.664901177837564
80.83998783252585,65.05517227159734
87.94990387797992,72.35046882994246
87.09627236310574,76.76062458265274
82.85503157618153,79.54674620623587
80.82160510579344,80.94767964483086
80.3817752601529,82.11462015879745
77.74679981850821,82.52733940489252
50.4065455906804,78.1797047989146
32.595257632306684,70.27189819238986
22.935021118451605,61.10600515743926
15.494974746320857,51.48313989603059
14.546074791267413,42.01520699395545
17.254874709440188,32.99707834385363
18.814053107038298,24.57811452792936
22.00062350848595,20.520125659044435
32.16957522426709,20.459313886467353
61.289105905768054,25.93846885608399
70.26863041711735,33.763276809054915
79.87942281736457,43.096612241354514
86.56115446318677,52.9975093490326
86.43863691091089,62.65816417815724
80.48702879069397,71.01336493275839
77.42530443530895,77.47846910576438
77.8314096817614,79.84165535947771
79.09581163509131,81.1026812477597
75.47889053362475,80.474033778654
71.92815549662625,78.38360535485965
64.61505310749567,75.26595052580033
47.844470682892954,70.60272793897163
38.23407269428156,65.00398054739628
34.089367713893665,58.75511740912946
27.40185335748149,51.37026622661377
18.990479173603603,43.30049317518218
14.322208435121157,35.071072166395744
19.838623808844705,28.674439409445608
25.009963325065318,25.412366929755944
26.996330299071186,23.806975159011607
41.98373182796032,24.93474146102113
66.65852426164597,30.5428373044732
75.67203758770461,38.64020279220191
80.54460894039192,48.1005457215263
85.71879205927596,57.51199832873077
89.27819970571724,66.6931749545382
86.94905182640127,75.25784945844248
85.16379136066234,81.42642939168562
84.83869940893632,84.02359726986995
79.98672615389084,84.6399813507537
67.21733102610726,82.73608450585589
47.563403493162525,77.28531471069684
31.545376743680748,69.03776857326305
21.255433060536745,59.65296589242526
15.240009626740374,49.66385421615069
21.527288038268207,40.619366877483806
27.139852782304832,33.06981353868581
27.84355945441349,27.444989028443835
26.65939793906455,24.45870252071555
30.166635778770722,24.261739525728405
38.74716216215889,26.760557968817277
56.32783812074486,32.630247753675064
