long,short,net,total,imbalance
1,2,-1,3,-0.3333333333333333
1.3221088436188495,2.1996914055092276,-0.8775825618903781,3.521800249128077,-0.24918578562417015
1.49272486499423,2.0330271708623684,-0.5403023058681384,3.5257520358565984,-0.1532445561608729
1.4316046833244371,1.5023418849921342,-0.07073720166769704,2.9339465683165713,-0.024109914758360565
1.5836409116250962,1.167494075077954,0.41614683654714213,2.7511349867030503,0.15126369246092533
1.976535229391743,1.175391613844809,0.801143615546934,3.151926843236552,0.25417582811797773
2.425780382807247,1.4357878862067963,0.9899924966004505,3.861568269014043,0.2563705799388135
2.4276829936029714,1.4912263063121713,0.9364566872908,3.9189092999151427,0.238958499833379
1.9692769397997836,1.3156333189361646,0.6536436208636189,3.284910258735948,0.19898370712725183
1.2192027496729594,1.0084069502421755,0.21079579943078386,2.227609699915135,0.09462869525070507
1.328493299359394,1.6121554848226225,-0.2836621854632284,2.9406487841820166,-0.09646244971146158
1.4940841169384953,2.2027538912297615,-0.7086697742912662,3.696838008168257,-0.191696193537678
1.427299454044146,2.387469740694513,-0.9601702866503672,3.814769194738659,-0.251698133657637
1.1595491811746825,2.1361368069027122,-0.9765876257280297,3.2956859880773948,-0.29632302023341184
1.1832395646259641,1.9371418189692662,-0.753902254343302,3.1203813835952303,-0.24160580444005647
1.4398478799858339,1.786483197820857,-0.3466353178350232,3.226331077806691,-0.1074394752043461
1.6350888983842822,1.4895888645756656,0.14550003380861654,3.124677762959948,0.04656481238909804
1.9110804588033403,1.3090685561185182,0.6020119026848221,3.2201490149218586,0.18695156649433217
1.9279417854952499,1.0168115236105706,0.9111302618846793,2.9447533091058204,0.30940801019469627
2.3319570372946856,1.334784881098301,0.9971721561963847,3.6667419183929866,0.2719504613058267
2.3343752069238803,1.4953036778474313,0.839071529076449,3.8296788847713117,0.21909709777835693
1.8984103435674626,1.4228734155714733,0.47553692799598934,3.321283759138936,0.14317865093203458
1.1515591783728496,1.155984876360904,-0.004425697988054367,2.3075440547337536,-0.0019179256746909683
1.191035708591997,1.6743404673450044,-0.4833047587530075,2.8653761759370013,-0.1686706139360438
1.4437835167907451,2.2876374755232405,-0.8438539587324954,3.7314209923139856,-0.2261481511924474
1.4878130027340717,2.485611281912668,-0.9977982791785962,3.9734242846467396,-0.2511179797823444
1.30241641120314,2.20986319265333,-0.9074467814501901,3.51227960385647,-0.2583640495061432
