hvn,lvn
nan,nan
nan,nan
104.51802474217867,98.72422497135318
107.36867266585102,106.01019222035171
109.94309098265116,108.75871466719266
111.1412061533575,108.30382420300766
111.2267596218075,110.51085106366537
111.61016507405071,110.96396659813462
111.48373355979457,109.84794550121919
110.1919578549517,114.0744634595206
109.89360012047727,105.36510632074285
108.22017032672409,102.31073290910014
104.6852763965291,99.79820922304276
99.18557851002508,103.71725026673847
98.7238842298237,101.57602475733832
97.66809846974488,100.4359110204916
96.73862145077769,96.205017567278
97.80061491481311,100.78045377766902
99.87453097850064,97.02387446584231
99.73113826147147,104.526747970451
106.22426428775424,104.89788191288208
109.02791018573753,103.36608752546002
113.21916606921877,110.48875707683496
115.17894486561615,109.9045632866436
117.16994545702758,119.5759549988874
117.27243337523937,122.813687370914
120.96844551395874,118.12324178453835
121.84111917539195,119.74392144148575
121.52820160477626,121.0264473756539
121.27288065306473,119.96122340893605
120.7949139620332,118.1445794515615
119.29100883996762,116.12815947091546
116.00125657418624,119.53321924775837
115.87028236454752,111.07629571013813
110.2077429601487,112.46426170542347
108.6636468431793,112.59890863261933
108.37728792988534,110.63397309995386
107.06733566332791,109.73223157413513
107.34704622727283,110.94431068456313
109.78084750059655,106.76972126301585
112.75221086560603,107.92419030793636
113.05747959339188,114.41219733446941
119.67648661778631,121.13998678528807
123.39782494453392,124.89484864071441
123.57231042795752,127.997139139779
126.56312482821917,127.87201622938282
131.57608986532344,127.1812345404576
132.27448859176067,129.89280440254038
131.93706959304484,131.36827117491552
131.88980548859385,131.31241359692802
132.18152257385782,129.70957544337364
130.58203338058843,133.5844128925281
128.83296341237408,132.16211169004137
124.78194901416947,129.24761450729923
122.79694481202885,126.98767341072154
123.42686539861172,119.51245995977726
121.47801801520458,118.05360285033922
119.11274095953729,122.08454529903682
118.18329560290773,117.56467403253598
118.92635961561233,117.58956252100253
120.95130053283015,122.66392211763637
120.7818884824585,125.12687873791317
122.790676749647,125.34142533792588
126.71510084830436,130.94699528908922
133.06315600802168,131.5692433484722
136.44553313543602,130.67087553869058
139.22225710149132,137.8915638698257
141.7343919644476,137.16015148115466
142.9067116600835,140.19046850862026
142.88549037137219,142.21531914404568
142.89291264384238,142.22409092060133
142.7367135513615,141.0323941867808
140.24580797003486,144.24676574952355
140.85371755423384,136.25179301552072
139.21910172502393,133.25769174177162
135.73551373657554,130.8631989672575
130.3612782882727,134.77220810950934
129.90354499037025,132.64925332271474
128.99532409025343,131.54868190314716
128.234765053304,131.01906370700098
