support,resistance
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
105.48528973597423,108.76572870814134
105.35455449711873,108.6426693151496
104.99613331709894,108.26415424635832
104.45423797197951,107.69469606786855
103.76663779870992,107.02741057227911
103.06061318592951,106.33590786742543
102.43098200940356,105.74322045382517
102.01535087802485,105.32463051632527
101.90645925660854,105.17147645630222
102.1639859216411,105.35682391936476
102.74616634399676,105.98614520029493
103.69944091712054,106.99783391906578
105.00121413283641,108.3204131352994
106.57237842993837,109.87014157860129
108.29825277218471,111.54900155100442
110.03456839896054,113.26358031500529
111.66103818764022,114.89853069142536
113.08968302693144,116.35936013069453
114.29721107031294,117.57000031802893
115.19492692914807,118.49623152556178
115.76101562959693,119.05680027398141
115.97655517589827,119.23030366756592
115.8387260537211,119.05576558295415
115.37184795637337,118.62039443562612
114.6853198872628,117.99056009163353
113.92096168322644,117.24475112428705
113.20152903795154,116.49952286227165
112.63807685790252,115.87454071677334
112.28618916797926,115.51073319157881
112.21307448239786,115.48306661197937
112.48979149342544,115.79604614144209
113.13296008084018,116.43848544585138
114.1044642038069,117.38847120867051
115.33337840244197,118.6095083667103
116.78486997883212,120.0242293203788
118.3914562921081,121.63045737917236
120.0720564872146,123.32931082821995
121.71145976981025,125.01865728958236
123.2315085638784,126.55334759289772
124.53297461259885,127.82696093235363
125.53022603154342,128.7609157102544
126.13330667266118,129.34283959048057
126.30465839074175,129.58363235409425
126.1321968787902,129.44901840587093
125.68534052391297,128.99791301162014
125.05610374914491,128.32612527277803
124.32304099775942,127.57988201018675
123.61786680358314,126.8628131821066
123.02767603836044,126.3074365928033
122.65512601039705,125.9500025048885
122.56435786720809,125.86329944126854
122.82025525538076,126.12884972272579
123.47774672616923,126.75897692900068
124.52914660401478,127.75292386050552
125.88889658382827,129.1094032659287
127.46966592241084,130.7577583580434
129.21644482829134,132.54053935472982
131.0136930507937,134.33022444410003
132.73711457487835,136.00504867278016
134.2578843094038,137.47206869526585
135.4478634763322,138.6850879424326
136.27656240894467,139.56375924051812
136.75506957168741,140.05710042578994
136.89863428953123,140.17970291899616
136.72570349503897,140.01027850792934
136.33473861820542,139.59426208000326
135.76225111438183,139.0017532435963
