lag,correlation
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
0,0.9976382990004101
0,0.9974659375588664
0,0.9972494331136299
0,0.9971519869703387
0,0.9972489314355621
0,0.9974449522749048
0,0.9973734786552032
0,0.9965104129143844
0,0.9947250427832336
0,0.992778801866193
0,0.9917108539779255
0,0.9916140895990224
0,0.991760299066657
0,0.9918630747695181
0,0.9924866557865194
0,0.9940369880696761
0,0.9959483040943709
0,0.9973339714925235
0,0.9978480271511401
0,0.9977374653418324
0,0.9974484995607887
0,0.9973019138467126
0,0.9973904421189288
0,0.9976237600234544
0,0.9978073446891293
0,0.9977100976897922
0,0.997150996760455
0,0.9961377672206108
0,0.9949970264529188
0,0.9942702429070885
0,0.9941340690240448
0,0.9938562213723241
0,0.992736469521402
0,0.9916628009636953
0,0.9921581176992051
0,0.9942211350279677
0,0.99618912356011
0,0.9968283179992904
0,0.9965564237497816
0,0.9963246774183139
0,0.9965213968586732
