price,strength
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
107.56298845328456,4
107.56298845328456,4
107.56298845328456,4
107.56298845328456,4
107.56298845328456,4
107.56298845328456,4
107.56298845328456,4
107.56298845328456,4
107.56298845328456,4
114.8229661795107,4
114.8229661795107,4
114.8229661795107,4
114.8229661795107,4
114.8229661795107,4
114.8229661795107,4
114.8229661795107,4
114.8229661795107,4
114.8229661795107,4
114.8229661795107,4
114.8229661795107,4
114.8229661795107,4
115.31208250342972,5
115.31208250342972,5
115.31208250342972,5
115.31208250342972,5
115.31208250342972,5
115.31208250342972,5
115.31208250342972,5
115.31208250342972,5
115.31208250342972,5
120.69260571814182,5
120.69260571814182,5
120.69260571814182,5
120.69260571814182,5
120.69260571814182,5
120.69260571814182,5
120.69260571814182,5
120.69260571814182,5
120.69260571814182,5
120.69260571814182,5
120.69260571814182,5
120.69260571814182,5
126.20002355024693,5
126.20002355024693,5
126.20002355024693,5
126.20002355024693,5
126.20002355024693,5
126.20002355024693,5
126.20002355024693,5
126.20002355024693,5
