pp,r1,s1
100,102,99
103.56633363704552,105.87715661298687,102.35535636385879
106.88453037373188,109.15566318437577,105.62991114851917
109.67348596668901,111.51604472209533,108.58209815377876
111.13255405003956,112.11221131548481,109.36107632878176
112.38138786646608,113.46321748073643,110.31129063749988
112.62702746138038,113.9513665001856,110.08979823117156
111.9934012617334,113.34593516329022,109.42702586337508
110.58913438099337,111.7392702754114,108.45436001667545
108.57439601463545,109.38340017717478,107.15579047725964
106.67240785907272,108.54577112236939,105.60512233818737
104.11889664422932,106.5180041211209,102.82116611295264
101.69157785889992,104.19582989144287,100.38106069670421
99.66807879702192,101.84995599278629,98.5542700047089
98.39157660343479,100.43605274997472,97.31567136637949
97.99800196388674,100.0577883022453,96.83145722443861
97.70233170394982,98.85589836083372,95.73122059787377
99.06508901336424,100.19739340612433,96.97724439120248
101.24593480900866,102.23632601718776,99.29157270808194
103.90874139279815,105.15912309267097,101.49238117427798
107.04178698081799,108.37303262147267,104.54335373670136
110.43130488294963,111.61734417662724,108.2960604174883
114.40219700522998,115.84496525168709,113.53742119695333
117.46133038134172,119.31260358614647,116.44722741020946
120.08666102800609,122.5242808930439,118.79285990072991
122.00250344863626,124.6106184114378,120.63719412679106
123.08417586118429,125.39278146127586,121.88050185741939
123.30647077859925,125.03417545596093,122.38883210484423
122.84705022883936,124.62583040503782,121.80712956676186
120.84432756678952,122.05534603567516,118.70765536305055
118.95652487581528,120.21019271848101,116.61384916708613
116.7032760193594,117.80553412931202,114.54002801516539
114.19645259746086,115.33495084871224,111.97973568526743
111.738341905645,112.99963643295305,109.40205200763066
109.69856915285949,110.88178440452634,107.63482262073087
108.97210210071356,110.75628052928784,107.94548303621126
108.28395953133975,110.07120210785124,107.34367732708166
108.65636347805457,111.0448600660234,107.41117050402292
109.93386918554131,112.54705063285498,108.56370124079046
112.03462640593061,114.39856757116318,110.77542470075386
114.81611352808079,116.54149119213325,113.862503342012
117.58595703450654,118.51069575729137,116.01820464077228
121.11034346124116,122.33573375437604,118.88544988594158
124.62423030674553,125.95756428818103,122.10807642850591
127.84851097311517,129.06514432138096,125.4874684505406
130.49567361857814,131.49549019948594,128.53821110370066
132.23189376737685,133.37991556890282,130.14091309138908
133.13403996988342,134.27310701666508,131.21495979391582
133.90275379547433,135.98199196005606,132.74004669819266
133.0377012295568,135.0516848080185,131.99059298126224
131.5586005322923,133.819616809625,130.40023132826536
129.59778528726935,132.11631329121323,128.2733315073158
127.28622172047149,129.62348635251408,126.01324680571167
124.86136905906761,126.61541366388943,123.84936932025197
122.08622520107474,122.94702881463039,120.55417290890405
120.22112149440724,121.41908370889153,117.98622214734023
118.99028645339988,120.3550219520687,116.39485866684733
118.55201459265538,119.84866593796067,116.06604725857304
118.98062221874731,120.0070316780754,117.0205872766375
120.15334071347462,121.15416429028625,118.37252834846488
122.81612986330079,124.75464441816374,121.68387142036052
125.49448410470009,127.80044606174987,124.2327181256915
128.62032078937767,130.9000925387063,127.43540621134142
132.0197888090322,134.090534278967,130.97663510858277
135.5657905402464,137.89744352149683,134.33364342359747
138.8132895961857,141.03820777162838,137.5718850589695
140.79031254728648,141.84286377786322,139.03163491391754
142.83625121593735,143.7922689014923,141.079210165369
143.90278088831138,145.03679550244195,141.72989977316556
143.9957241395838,145.34147968334463,141.42001615749956
143.2232603550385,144.55684065109617,140.69939579324517
141.7041937609258,142.80207317621594,139.67846713092206
139.57773181050055,140.4100148182745,138.14793890100148
137.6620493862447,139.6475463243078,136.54338830509005
135.11020003058124,137.5588493177161,133.7940932686894
132.73165736856538,135.20915511603803,131.44120724824378
130.80198382609606,132.89678804688316,129.73611602243327
129.6832595689679,131.7510644245193,128.58179051760987
129.4303651930132,131.4612549288315,128.26515993799416
129.28359106293442,130.44631918169958,127.26968855349816
