pp,r1,r2,r3,s1,s2,s3
99.66666666666667,100.81266666666667,101.52066666666667,102.66666666666667,98.52066666666667,97.81266666666667,96.66666666666667
103.16267454598328,104.50800224115021,105.33914709994443,106.68447479511136,101.81734685081635,100.98620199202213,99.6408742968552
106.46632396532765,107.81316124302487,108.64523872348703,109.99207600118424,105.11948668763043,104.28740920716827,102.94057192947105
109.30969002905226,110.43045761814919,111.1228690082719,112.24363659736883,108.18892243995533,107.49651104983262,106.37574346073569
111.45910647185464,112.51004003677521,113.15930789363712,114.21024145855769,110.40817290693407,109.75890505007216,108.70797148515159
112.74199773788952,113.94603379200588,114.68988852700971,115.89392458112607,111.53796168377316,110.79410694876933,109.59007089465297
113.06847380764877,114.54359288641214,115.45492299789944,116.93004207666282,111.5933547288854,110.6820246173981,109.20690553863473
112.44424589558567,113.94126924815325,114.86613184293323,116.36315519550081,110.94722254301809,110.0223599482381,108.52533659567052
110.97251301246604,112.22734873130317,113.00258755236486,114.25742327120199,109.71767729362891,108.94243847256722,107.68760275373009
108.84406406881523,109.69501097418281,110.22072686336278,111.07167376873036,107.99311716344765,107.46740127426767,106.6164543689001
106.3166460187776,107.43997385433514,108.13396696740209,109.25729480295962,105.19331818322007,104.49932507015312,103.37599723459559
103.68631980047041,105.09851191959069,105.9709656895184,107.38315780863867,102.27412768135014,101.40167391142244,99.98948179230216
101.25473880483469,102.71198063722485,103.61226616718318,105.06950799957335,99.79749697244452,98.8972114424862,97.43996961009603
99.29680919958425,100.5557612470298,101.33354314021608,102.59249518766164,98.03785715213868,97.26007525895241,96.00112321150685
98.03294152441634,99.22492721294972,99.9613372194782,101.15332290801157,96.84095583588297,96.10454582935449,94.91256014082111
97.60915371740403,98.84161218912618,99.60302632348856,100.83548479521072,96.37669524568187,95.61528111131949,94.38282263959734
98.08685392291113,99.28048082836183,100.01790478042038,101.21153168587108,96.89322701746043,96.15580306540188,94.96217615995118
99.44252381095095,100.67262073465109,101.43257590217266,102.6626728258728,98.2124268872508,97.45247171972923,96.22237479602909
