tenkan,kijun,senkou_a,senkou_b,chikou
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
106.5821283457946,nan,nan,nan,nan
108.20988367634669,nan,nan,nan,nan
109.8888271273386,nan,nan,nan,nan
108.44202292946348,nan,nan,nan,nan
107.17579125897308,nan,nan,nan,nan
106.32522914642337,nan,nan,nan,nan
105.75567857424203,nan,nan,nan,nan
105.24899614280994,nan,nan,nan,nan
104.33106218541974,nan,nan,nan,nan
102.96560858876973,nan,nan,nan,nan
101.83895450274312,nan,nan,nan,nan
101.13165861842324,nan,nan,nan,nan
102.7392179252314,nan,nan,nan,nan
104.25238248696957,nan,nan,nan,nan
105.6025942195174,nan,nan,nan,nan
107.20682448900108,nan,nan,nan,nan
108.96461360117411,nan,nan,nan,nan
110.6502986955428,109.65301419800483,nan,nan,100
112.27169673288938,110.11303274523868,nan,nan,103.4552020666134
113.47310477893726,110.11303274523868,nan,nan,106.64642473395035
114.99919560255626,110.11303274523868,nan,nan,109.33326909627483
116.76655772711061,110.11303274523868,nan,nan,111.32039085967226
118.62363931186104,110.11303274523868,nan,nan,112.47494986604055
119.94443388717798,110.11303274523868,nan,nan,112.73847630878196
118.67290210557934,110.11303274523868,nan,nan,112.13209366648874
117.38244862164308,110.11303274523868,nan,nan,110.75463180551151
116.40160188307092,110.11303274523868,nan,nan,108.7737988023383
115.70601656224677,110.11303274523868,nan,nan,106.41120008059868
115.19184392287256,110.11303274523868,nan,nan,103.92254305856751
114.62443333030711,110.11303274523868,nan,nan,101.57479556705148
113.78353373731508,110.11303274523868,nan,nan,99.62233840816026
112.56719545681958,110.11303274523868,nan,nan,98.28424227586412
111.34051819987002,110.11303274523868,nan,nan,97.72469882334903
112.71078815916326,110.41830745600757,nan,nan,98.0383539116416
114.80155196331324,111.11031724277667,nan,nan,99.24185317672267
116.70412553753545,113.69796389290735,nan,nan,101.27235512444012
118.23871019288774,116.43395659430753,nan,nan,103.99314457402363
119.36050151177068,119.08183873680946,nan,nan,107.20584501801073
120.82178109079612,120.29537066672518,nan,nan,110.6681390048435
122.36190269327452,120.66049351796838,nan,nan,114.11541363513378
124.07809837839216,120.66666389142087,nan,nan,117.28439764388199
125.86333960223885,120.66666389142087,nan,nan,119.93667863849153
127.47520703043114,120.66666389142087,110.15165644677381,nan,121.87999976774739
129.178178609033,120.66666389142087,111.19236473906403,nan,122.98543345374605
130.00720899059246,120.66666389142087,111.79306876208797,nan,123.19889810845086
129.08639267350088,120.66666389142087,112.55611417389747,nan,122.5459890808828
128.14544124013753,120.66666389142087,113.43979523617465,nan,121.12969230082183
127.04431008633946,120.66666389142087,114.36833602854986,nan,119.12118485241757
126.34550592374353,120.66666389142087,115.02873331620833,nan,116.74454423507063
125.67008636260073,120.66666389142087,114.39296742540901,nan,114.2567321877702
124.98616649183467,120.66666389142087,113.74774068344088,nan,111.92464106224679
124.0888011572865,120.66666389142087,113.2573173141548,nan,110.00125312406458
122.9072799412907,120.66666389142087,112.90952465374272,nan,108.7030424002833
122.00580666552938,120.66666389142087,112.65243833405563,nan,108.19063769933508
123.53029930738201,120.66666389142087,112.3687330377729,nan,108.55447411796011
125.15915287841587,121.19307431549183,111.94828324127688,nan,109.80671474335324
127.02665045212272,123.23431144879669,111.34011410102913,nan,111.88016416080967
128.655028690376,126.57271499871513,110.72677547255435,nan,114.63427081999565
130.25160147003731,129.60510424618855,111.56454780758541,nan,117.86768208634197
131.87290470158433,130.92432775692788,112.95593460304497,nan,121.33623047221137
133.4766386559475,131.66551262540366,115.2010447152214,nan,124.77474439137693
134.87997713465919,131.91339768450908,117.33633339359764,nan,127.92073514707224
136.45599058085855,131.91339768450908,119.22117012429007,nan,130.5378442655162
138.26023773038276,131.91339768450908,120.55857587876065,nan,132.43695669444105
139.90278484033203,131.91339768450908,121.51119810562145,nan,133.49309388747918
141.12399228492484,131.91339768450908,122.3723811349065,nan,133.65657776549278
139.6164914325572,131.91339768450908,123.26500174682985,nan,132.95746831142935
138.4127958713804,131.91339768450908,124.070935460926,nan,131.50287840157117
137.63930586348852,131.91339768450908,124.92242125022693,115.50183825914209,129.46740573130614
137.0934434175423,131.91339768450908,125.33693644100666,115.50183825914209,127.07753652299444
136.57330018701333,131.91339768450908,124.87652828246087,115.50183825914209,124.59141418625812
135.56469792406222,131.91339768450908,124.40605256577919,115.50183825914209,122.27578013601534
