rsi_ma,trailing_line
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
35.930862145084035,18.830590440348864
48.29410290300643,30.391660241019007
59.26715678400074,40.558897574345515
68.33562367886918,49.33270438357475
75.57249801162841,56.94185985935833
81.23795820101282,63.58385808714259
85.6218327195316,69.38912185348715
88.98678395663832,74.44166924427545
91.5510294708851,78.80224901392174
93.48341103862265,82.52011439755776
90.40376158791501,82.52011439755776
80.53476225069144,90.70325793202198
67.5040922138752,79.67513724080148
54.607988336107724,69.18251781981085
43.31044334937383,59.84436153495163
33.9784071238569,51.61984853976301
26.514320576572587,44.34652028136489
20.66950621953593,37.90397949819777
16.18858230365668,32.23821878771572
15.667629460242955,29.52314616923057
23.354545704208803,29.52314616923057
35.59020377717422,21.630437252428703
48.16336335462405,32.55588546785338
59.22875215910787,42.16414703119301
68.33672515447026,50.49658115684578
75.5891079315098,57.77487759663053
81.25909004544292,64.17573979478519
85.64252569286334,69.80806425250596
89.00487693677461,74.73767262905457
91.56552450373697,79.01109105205524
93.49320611482402,82.66656751354904
90.04931664408515,82.66656751354904
79.87821947695237,90.15472885427455
66.7679277095395,79.10730340292254
53.924472723405714,68.66373725491407
42.72746590453222,59.38387537590057
33.502366337508455,51.21015018911227
26.135399376219638,43.98003296025853
20.37355121290307,37.576680538312466
15.963297921145772,31.94991171584264
15.896259214006246,29.58080650834001
23.97608537582024,29.58080650834001
36.31307446761109,22.40498462590284
48.82857271478802,33.25275033643872
59.786893992980595,42.76532157856463
68.78527059674094,51.01278918928371
75.94145759988503,58.2196952400949
81.53219875188822,64.55967597503722
85.85235784773305,70.13863095053959
89.16495801341567,75.02053223671759
91.68661403744389,79.25089028414837
93.58296570862566,82.86700067805707
89.74995257214049,82.86700067805707
79.26810366338816,89.65174661124507
66.07164387191447,78.57671631769999
53.273309364814715,68.17586120617005
42.16965680192121,58.94939429513333
33.04542646539114,50.82266015718939
25.770755519154594,43.632666210399435
20.08817461239413,37.26585853920147
15.745944613517766,31.675836208457923
16.13443030423887,29.826089727960508
