value,direction
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
92.23266539024749,1
92.4167143858698,1
93.00163753883135,1
94.74050055464248,1
96.7603536585142,1
99.65705906766864,1
102.4871780247512,1
105.18161252174927,1
107.787947719904,1
110.9699072009077,1
113.83019792880239,1
115.8577337678614,1
116.90716471889924,1
116.90716471889924,1
116.90716471889924,1
116.90716471889924,1
116.90716471889924,1
123.14557821060234,-1
120.6539562447185,-1
118.05196888045276,-1
115.82436103133132,-1
114.14769660863514,-1
113.38678673360215,-1
113.11044903274335,-1
112.98768247406758,-1
112.98768247406758,-1
108.7809489978316,1
112.04331871276543,1
116.1095782576794,1
119.53747842983569,1
122.3647681744626,1
124.59731645685709,1
126.49949966040191,1
127.23018458983032,1
127.23018458983032,1
127.23018458983032,1
127.23018458983032,1
127.24523424202566,1
132.8383122787832,-1
130.94512308334384,-1
128.97047467694617,-1
126.66295318097112,-1
124.9994874202393,-1
124.09178142739513,-1
123.57743447072205,-1
123.35309630333434,-1
123.34939344688003,-1
120.4212039036091,1
123.16862041006343,1
126.07897965334797,1
129.4704159147811,1
132.48854126673106,1
134.9847932230295,1
137.05491375630925,1
138.51377453938446,1
138.96613376163583,1
138.96721735266985,1
138.96721735266985,1
139.04017882852963,1
143.14769586495942,-1
140.2123811048814,-1
137.8458922454279,-1
136.12086339366476,-1
134.8243605399064,-1
134.41006203277723,-1
134.01391695927182,-1
