pivot,tc,bc
99.66666666666667,99.83333333333334,99.5
103.16267454598328,103.30893830629836,103.0164107856682
106.46632396532765,106.55637434963901,106.37627358101628
109.30969002905226,109.32147956266354,109.29790049544098
111.45910647185464,111.52846427794583,111.38974866576345
112.74199773788952,112.875521673814,112.60847380196503
113.06847380764877,113.23347255708218,112.90347505821536
112.44424589558567,112.60032201013414,112.2881697810372
110.97251301246604,111.08145361594332,110.86357240898876
108.84406406881523,108.87919670205369,108.80893143557677
106.3166460187776,106.36392304968814,106.26936898786707
103.68631980047041,103.80443142951896,103.56820817142187
101.25473880483469,101.41476718594308,101.0947104237263
99.29680919958425,99.45957380387225,99.13404459529625
98.03294152441634,98.15859190014022,97.90729114869247
97.60915371740403,97.66692627037654,97.55138116443152
98.08685392291113,98.1111039285459,98.06260391727636
99.44252381095095,99.54285912806509,99.3421884938368
101.57606521173501,101.72792025538246,101.42421016808757
104.32553529275576,104.49173065212182,104.1593399333897
107.48553552770288,107.62538078254896,107.3456902728568
110.82665131417549,110.90590746884149,110.7473951595095
114.11393840247109,114.11467601880244,114.11320078613974
117.12329605763098,117.20384685075648,117.04274526450548
119.6553939855807,119.79603631203612,119.51475165912528
121.54740034135453,121.71370005455097,121.3811006281581
122.68295119326267,122.83419232350437,122.53171006302097
123.0005912206809,123.09974466456589,122.90143777679592
122.50041000814686,122.52319954451482,122.47762047177889
121.2480003897514,121.30715443421619,121.1888463452866
119.37441415670385,119.50102880884698,119.24779950456072
117.0706953893436,117.23377096648008,116.90761981220712
114.57595201454465,114.73556192793188,114.41634210115743
112.1587734147477,112.27583959099815,112.04170723849725
110.09297423674845,110.13883479309038,110.04711368040651
108.62989574587948,108.6664690730814,108.59332241867756
107.97053212992039,108.08058491462774,107.86047934521304
108.24129915337737,108.39788663566875,108.08471167108598
109.47714653729103,109.64193064032216,109.31236243425991
111.61489250420503,111.74752833250736,111.4822566759027
114.49824346605784,114.56625714302673,114.43022978908895
117.8942032754348,117.90746386998124,117.88094268088837
121.51880689228612,121.6100951023235,121.42751868224875
125.06867496722403,125.21564025514759,124.92170967930046
128.2540554225371,128.42071556026954,128.08739528480467
130.82894581221407,130.97449658556297,130.68339503886517
132.61456770121885,132.70337320460774,132.52576219782995
133.51372898547731,133.52404653447638,133.50341143647825
133.51518476304713,133.58588126426997,133.4444882618243
132.68866514679192,132.82306672911062,132.55426356447322
131.17247746428333,131.33767793292725,131.00727699563942
129.1563006939515,129.31185321262882,129.00074817527417
126.86189674888487,126.96971663593965,126.7540768618301
124.52403581279573,124.55772499952693,124.49034662606454
122.37315973892662,122.42184954038225,122.32446993747098
120.62044223256866,120.7395900606986,120.50129440443872
119.44519828628948,119.60563259734174,119.28476397523723
118.98423170775713,119.14667258704391,118.82179082847036
119.32275870519,119.44743496013817,119.19808245024183
120.48694857241185,120.54333510757368,120.43056203725001
122.4387103823207,122.46441895730197,122.41300180733944
125.07389544503057,125.17540477438165,124.9723861156795
128.2253492633656,128.37780632299967,128.0728922037315
131.67207090888238,131.83814889347522,131.50599292428953
135.15507483469676,135.29411206144783,135.0160376079457
138.3994880837803,138.47744339048813,138.3215327770725
141.1411629574787,141.14337574868256,141.13895016627487
143.154923777789,143.23676289844406,143.07308465713396
144.28078575968826,144.42221413881902,144.1393573805575
144.44430932083742,144.61070035874553,144.2779182829293
143.66778712039107,143.81840248790633,143.5171717528758
142.07015356602253,142.1681173682826,141.97218976376246
139.85515947975856,139.8764867613631,139.833832198154
137.28916235919314,137.3496932605958,137.22863145779047
134.6714977766173,134.79906678527485,134.54392876795973
132.3015073284582,132.46488110192655,132.13813355498985
130.44669455820846,130.605873498883,130.28751561753393
129.31610321851522,129.43211477015922,129.20009166687123
129.04196344134022,129.08640393006687,128.99752295261356
129.6711671025228,129.70917825826996,129.63315594677562
