bars

100,102,1
102,104,1,104,106,1
106,108,1
108,110,1
110,112,1




110,108,-1
108,106,-1,106,104,-1
104,102,-1
102,100,-1

100,98,-1



100,102,1
102,104,1,104,106,1
106,108,1,108,110,1
110,112,1,112,114,1
114,116,1
116,118,1
118,120,1
120,122,1




120,118,-1
118,116,-1
116,114,-1,114,112,-1

112,110,-1




112,114,1
114,116,1
116,118,1,118,120,1
120,122,1,122,124,1
124,126,1
126,128,1,128,130,1
130,132,1





130,128,-1
128,126,-1
126,124,-1
124,122,-1
122,120,-1




122,124,1
124,126,1,126,128,1
128,130,1,130,132,1
132,134,1
134,136,1,136,138,1
138,140,1
140,142,1

142,144,1


142,140,-1
140,138,-1
138,136,-1
136,134,-1
134,132,-1
132,130,-1


