upper,middle,lower
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
115.1642566915892,106.32522914642337,97.48620160125755
115.1642566915892,105.75567857424203,96.34710045689485
115.1642566915892,105.55123615855868,95.93821562552817
115.1642566915892,105.55123615855868,95.93821562552817
115.1642566915892,105.55123615855868,95.93821562552817
115.1642566915892,105.55123615855868,95.93821562552817
115.1642566915892,105.55123615855868,95.93821562552817
114.55977666009171,105.24899614280994,95.93821562552817
112.72390874531129,104.33106218541974,95.93821562552817
115.26697281350663,105.6025942195174,95.93821562552817
118.47543335247398,107.20682448900108,95.93821562552817
121.38046215528227,108.65933889040522,95.93821562552817
123.36781277048146,109.65301419800483,95.93821562552817
124.2878498649492,110.11303274523868,95.93821562552817
124.2878498649492,110.11303274523868,95.93821562552817
124.2878498649492,110.11303274523868,95.93821562552817
124.2878498649492,110.41830745600757,96.54876504706593
124.2878498649492,111.11031724277667,97.93278462060415
124.2878498649492,112.27169673288938,100.25554360082955
124.2878498649492,113.47310477893726,102.65835969292533
124.2878498649492,114.99919560255626,105.7105413401633
124.2878498649492,116.40160188307092,108.51535390119264
124.2878498649492,115.73788676854423,107.18792367213928
124.2878498649492,115.39228340988873,106.49671695482826
124.2878498649492,115.27785837751748,106.26786689008574
124.2878498649492,115.27785837751748,106.26786689008574
124.2878498649492,115.27785837751748,106.26786689008574
124.22410945235427,115.24598817122,106.26786689008574
123.88697089091687,115.0774188905013,106.26786689008574
123.33523703654073,114.80155196331324,106.26786689008574
127.14038418498515,116.70412553753545,106.26786689008574
130.20955349568973,118.23871019288774,106.26786689008574
132.45313613345562,119.36050151177068,106.26786689008574
134.3228744433646,120.29537066672518,106.26786689008574
135.053120145851,120.66049351796838,106.26786689008574
135.065460892756,120.66666389142087,106.26786689008574
135.065460892756,120.66666389142087,106.26786689008574
135.065460892756,120.66666389142087,106.26786689008574
135.065460892756,121.19307431549183,107.32068773822765
135.065460892756,122.36807306672702,109.67068524069803
135.065460892756,124.07809837839216,113.09073586402833
135.065460892756,125.86333960223885,116.6612183117217
135.065460892756,127.04431008633946,119.02315927992295
135.065460892756,126.34550592374353,117.62555095473105
135.065460892756,126.16041207005304,117.25536324735009
135.065460892756,126.16041207005304,117.25536324735009
135.065460892756,126.16041207005304,117.25536324735009
135.065460892756,126.16041207005304,117.25536324735009
135.065460892756,126.16041207005304,117.25536324735009
134.08480947785137,125.67008636260073,117.25536324735009
133.06294250948164,125.15915287841587,117.25536324735009
136.79793765689536,127.02665045212272,117.25536324735009
140.0546941334019,128.655028690376,117.25536324735009
142.5489901806554,129.90217671400274,117.25536324735009
144.5932922665057,130.92432775692788,117.25536324735009
146.0756620034572,131.66551262540366,117.25536324735009
146.57143212166807,131.91339768450908,117.25536324735009
146.57143212166807,131.91339768450908,117.25536324735009
146.57143212166807,132.26282244054363,117.95421275941922
146.57143212166807,132.86197462916553,119.152517136663
146.57143212166807,133.72452371505295,120.87761530843784
146.57143212166807,134.87997713465919,123.18852214765032
146.57143212166807,136.45599058085855,126.34054904004905
146.57143212166807,137.63930586348852,128.70717960530897
146.57143212166807,137.0934434175423,127.6154547134165
146.57143212166807,136.98545378943146,127.39947545719488
146.57143212166807,136.98545378943146,127.39947545719488
