fan_382,fan_500,fan_618
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
106.18783174052382,103.4150093734408,100.64218700635777
105.37179310860878,102.34689598088185,99.32199885315491
104.55575447669375,101.2787825883229,98.00181069995206
103.73971584477871,100.21066919576396,96.6816225467492
102.92367721286368,99.14255580320501,95.36143439354635
102.10763858094865,98.07444241064607,94.04124624034348
101.29159994903361,97.00632901808711,92.72105808714062
100.47556131711858,95.93821562552817,91.40086993393777
99.65952268520354,94.87010223296923,90.08068178073492
98.8434840532885,93.80198884041027,88.76049362753206
98.02744542137347,92.73387544785133,87.4403054743292
97.21140678945844,91.66576205529239,86.12011732112634
96.3953681575434,90.59764866273345,84.7999291679235
110.70579782479021,115.26751169786068,119.82922557093116
111.69030330474102,116.55613143601619,121.42195956729137
112.67480878469182,117.84475117417169,123.01469356365155
113.65931426464263,119.1333709123272,124.60742756001176
114.64381974459343,120.42199065048268,126.20016155637195
115.62832522454423,121.71061038863819,127.79289555273215
116.61283070449502,122.99923012679369,129.38562954909236
117.59733618444584,124.2878498649492,130.97836354545257
118.58184166439663,125.5764696031047,132.57109754181275
116.15264664193357,113.63967810707534,111.12670957221711
115.52686177862468,112.82058797185427,110.11431416508387
114.90107691531578,112.0014978366332,109.10191875795063
114.27529205200688,111.18240770141213,108.08952335081739
113.64950718869798,110.36331756619107,107.07712794368416
113.02372232538909,109.54422743097001,106.06473253655092
112.3979374620802,108.72513729574894,105.05233712941768
111.7721525987713,107.90604716052788,104.03994172228444
111.1463677354624,107.0869570253068,103.0275463151512
110.52058287215351,106.26786689008574,102.01515090801797
109.89479800884462,105.44877675486468,101.00275550088473
109.26901314553572,104.6296866196436,99.99036009375149
120.26873350156579,124.59360852814862,128.91848355473147
121.26879540238579,125.90259007372455,130.53638474506332
122.26885730320579,127.21157161930047,132.15428593539514
123.26891920402579,128.5205531648764,133.772187125727
124.2689811048458,129.82953471045232,135.39008831605884
125.26904300566581,131.13851625602823,137.00798950639066
126.26910490648581,132.44749780160416,138.62589069672248
127.26916680730581,133.75647934718006,140.24379188705433
128.2692287081258,135.065460892756,141.86169307738618
125.99418449202925,123.1920624624854,120.38994043294153
125.2382447919687,122.20261259329618,119.16698039462366
124.48230509190813,121.21316272410695,117.94402035630578
123.72636539184757,120.22371285491774,116.7210603179879
122.970425691787,119.23426298572852,115.49810027967004
122.21448599172645,118.2448131165393,114.27514024135218
121.45854629166588,117.25536324735009,113.0521802030343
120.70260659160532,116.26591337816087,111.82922016471642
119.94666689154477,115.27646350897166,110.60626012639855
119.1907271914842,114.28701363978243,109.38330008808069
118.43478749142363,113.29756377059323,108.16034004976281
117.67884779136307,112.308113901404,106.93738001144494
131.25378613483693,135.57790629379883,139.90202645276074
132.18701432733604,136.79940916356207,141.4118039997881
133.12024251983516,138.02091203332532,142.92158154681547
134.0534707123343,139.24241490308856,144.43135909384284
134.98669890483342,140.46391777285183,145.94113664087024
135.91992709733253,141.68542064261507,147.4509141878976
136.85315528983165,142.9069235123783,148.96069173492498
137.7863834823308,144.12842638214158,150.47046928195235
