arc_382,arc_500,arc_618
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
103.09892555931879,105.31087260692951,107.52281965454023
102.86253302957594,105.00145830098337,107.14038357239079
102.51732940859611,104.54962110074798,106.58191279289986
102.04488957552375,103.93124435588888,105.81759913625402
101.41236918521201,103.10333808584734,104.79430698648267
100.55442722822669,101.98037740916497,103.40632759010326
99.3028290994984,100.34215996318552,101.38149082687266
95.93821562552817,95.93821562552817,95.93821562552817
95.93821562552817,95.93821562552817,95.93821562552817
95.93821562552817,95.93821562552817,95.93821562552817
95.93821562552817,95.93821562552817,95.93821562552817
95.93821562552817,95.93821562552817,95.93821562552817
95.93821562552817,95.93821562552817,95.93821562552817
114.1996706830759,111.08342685202602,107.96718302097617
114.64170556553591,111.66200654110982,108.68230751668372
115.2111578240943,112.40736290047943,109.60356797686457
115.93404385308685,113.35354880230214,110.77305375151744
116.85499649070387,114.55898419185321,112.26297189300257
118.06129049382565,116.13790304410686,114.21451559438808
119.7762789809758,118.38265237283744,116.98902576469906
124.2878498649492,124.2878498649492,124.2878498649492
124.2878498649492,124.2878498649492,124.2878498649492
113.03676512629407,115.12768133538461,117.21859754447513
112.89055138026127,114.93630208665057,116.98205279303987
112.68025357449474,114.66104317857919,116.64183278266366
112.39928130554219,114.29327842864129,116.1872755517404
112.03731825806305,113.8195048062864,115.60169135450975
111.57782753500113,113.21807715829961,114.85832678159808
110.99243900016643,112.45186179856832,113.9112845969702
110.22567787671223,111.44824776263349,112.67081764855476
109.13557339495634,110.02140943572789,110.90724547649944
106.26786689008574,106.26786689008574,106.26786689008574
106.26786689008574,106.26786689008574,106.26786689008574
106.26786689008574,106.26786689008574,106.26786689008574
124.48180055179492,121.2125023312886,117.9432041107823
124.81787583214145,121.65239144168983,118.48690705123822
125.2668954199286,122.24011341523324,119.21333141053788
125.84534573810114,122.99724733954284,120.14914894098453
126.5796542726424,123.95838416485861,121.33711405707484
127.5151591165428,125.18286694483298,122.85057477312316
128.74051407725875,126.78673469446117,124.8329553116636
130.4826015326069,129.06695387685406,127.6513062211012
135.065460892756,135.065460892756,135.065460892756
123.66972430432146,125.65112379312414,127.63252328192682
123.34994395140984,125.23256312177384,127.11518229213785
122.91229797272464,124.65972807113877,126.4071581695529
122.32636091602875,123.89279475085618,125.45922858568362
121.53160395199767,122.85253694453279,124.1734699370679
120.37218247729751,121.33496956927081,122.2977566612441
117.25536324735009,117.25536324735009,117.25536324735009
117.25536324735009,117.25536324735009,117.25536324735009
117.25536324735009,117.25536324735009,117.25536324735009
117.25536324735009,117.25536324735009,117.25536324735009
117.25536324735009,117.25536324735009,117.25536324735009
117.25536324735009,117.25536324735009,117.25536324735009
135.72830037838702,132.37885130585516,129.02940223332334
136.01316038869857,132.75170472249332,129.4902490562881
136.3911144324333,133.2464089682194,130.10170350400554
136.87304025488316,133.87720192954126,130.88136360419932
137.47544885260135,134.66569485849172,131.8559408643821
138.22438541387888,135.64597831566127,133.06757121744369
139.1641629801871,136.87605366423224,134.58794434827738
140.38109660506578,138.46889872297396,136.55670084088214
