high,low
102,99
105.87715661298687,102.35535636385879
109.15566318437577,105.62991114851917
111.51604472209533,108.58209815377876
112.11221131548481,109.36107632878176
113.46321748073643,110.31129063749988
113.9513665001856,110.08979823117156
113.34593516329022,109.42702586337508
111.7392702754114,108.45436001667545
109.38340017717478,107.15579047725964
108.54577112236939,105.60512233818737
106.5180041211209,102.82116611295264
104.19582989144287,100.38106069670421
101.84995599278629,98.5542700047089
100.43605274997472,97.31567136637949
100.0577883022453,96.83145722443861
98.85589836083372,95.73122059787377
100.19739340612433,96.97724439120248
102.23632601718776,99.29157270808194
105.15912309267097,101.49238117427798
108.37303262147267,104.54335373670136
111.61734417662724,108.2960604174883
115.84496525168709,113.53742119695333
119.31260358614647,116.44722741020946
122.5242808930439,118.79285990072991
124.6106184114378,120.63719412679106
125.39278146127586,121.88050185741939
125.03417545596093,122.38883210484423
124.62583040503782,121.80712956676186
122.05534603567516,118.70765536305055
120.21019271848101,116.61384916708613
117.80553412931202,114.54002801516539
115.33495084871224,111.97973568526743
112.99963643295305,109.40205200763066
110.88178440452634,107.63482262073087
110.75628052928784,107.94548303621126
110.07120210785124,107.34367732708166
111.0448600660234,107.41117050402292
112.54705063285498,108.56370124079046
114.39856757116318,110.77542470075386
116.54149119213325,113.862503342012
118.51069575729137,116.01820464077228
122.33573375437604,118.88544988594158
125.95756428818103,122.10807642850591
129.06514432138096,125.4874684505406
131.49549019948594,128.53821110370066
133.37991556890282,130.14091309138908
134.27310701666508,131.21495979391582
135.98199196005606,132.74004669819266
135.0516848080185,131.99059298126224
133.819616809625,130.40023132826536
132.11631329121323,128.2733315073158
129.62348635251408,126.01324680571167
126.61541366388943,123.84936932025197
122.94702881463039,120.55417290890405
121.41908370889153,117.98622214734023
120.3550219520687,116.39485866684733
119.84866593796067,116.06604725857304
120.0070316780754,117.0205872766375
121.15416429028625,118.37252834846488
124.75464441816374,121.68387142036052
127.80044606174987,124.2327181256915
130.9000925387063,127.43540621134142
134.090534278967,130.97663510858277
137.89744352149683,134.33364342359747
141.03820777162838,137.5718850589695
141.84286377786322,139.03163491391754
143.7922689014923,141.079210165369
145.03679550244195,141.72989977316556
145.34147968334463,141.42001615749956
144.55684065109617,140.69939579324517
142.80207317621594,139.67846713092206
140.4100148182745,138.14793890100148
139.6475463243078,136.54338830509005
137.5588493177161,133.7940932686894
135.20915511603803,131.44120724824378
132.89678804688316,129.73611602243327
131.7510644245193,128.58179051760987
131.4612549288315,128.26515993799416
130.44631918169958,127.26968855349816
