base,level_618,level_1000,level_1618
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
126.11256849962119,111.69360385928405,102.78091050554816,88.36194586521103
126.5687481582892,112.14978351795207,103.23709016421617,88.81812552387905
127.02492781695719,112.60596317662007,103.69326982288416,89.27430518254704
127.4811074756252,113.06214283528806,104.14944948155217,89.73048484121503
127.93728713429319,113.51832249395605,104.60562914022016,90.18666449988302
128.3934667929612,113.97450215262407,105.06180879888817,90.64284415855104
128.84964645162918,114.43068181129206,105.51798845755616,91.09902381721903
129.3058261102972,114.88686146996008,105.97416811622418,91.55520347588705
129.7620057689652,115.34304112862807,106.43034777489217,92.01138313455505
107.20692609595461,121.53513781516853,130.39173470309686,144.71994642231078
107.67645569888904,122.00466741810295,130.86126430603127,145.1894760252452
108.14598530182349,122.4741970210374,131.33079390896575,145.65900562817964
108.61551490475792,122.94372662397183,131.80032351190016,146.12853523111409
109.08504450769234,123.41325622690626,132.26985311483458,146.5980648340485
109.55457411062679,123.8827858298407,132.73938271776905,147.06759443698294
110.02410371356122,124.35231543277513,133.20891232070346,147.5371240399174
110.49363331649566,124.82184503570957,133.6784419236379,148.0066536428518
110.96316291943009,125.291374638644,134.14797152657235,148.47618324578625
111.43269252236453,125.76090424157844,134.61750112950676,148.9457128487207
111.90222212529896,126.23043384451287,135.0870307324412,149.4152424516551
112.37175172823339,126.6999634474473,135.55656033537565,149.88477205458955
136.53513512382057,122.06850383776266,113.12634663505372,98.6597153489958
137.02502653417542,122.55839524811752,113.61623804540858,99.14960675935066
137.51491794453025,123.04828665847235,114.10612945576341,99.63949816970549
138.0048093548851,123.53817806882721,114.59602086611827,100.12938958006035
138.49470076523997,124.02806947918207,115.08591227647312,100.6192809904152
138.98459217559483,124.51796088953692,115.57580368682798,101.10917240077006
139.47448358594968,125.00785229989178,116.06569509718284,101.59906381112492
139.96437499630454,125.49774371024664,116.5555865075377,102.08895522147978
140.4542664066594,125.9876351206015,117.04547791789255,102.57884663183464
118.90348770093973,132.9657507827558,141.6579587071146,155.72022178893067
119.45286251880296,133.51512560061903,142.20733352497783,156.2695966067939
120.00223733666618,134.06450041848225,142.75670834284105,156.81897142465712
120.5516121545294,134.61387523634545,143.30608316070425,157.36834624252032
121.1009869723926,135.16325005420867,143.85545797856747,157.91772106038354
121.65036179025583,135.7126248720719,144.4048327964307,158.46709587824677
122.19973660811905,136.26199968993512,144.95420761429392,159.01647069611
122.74911142598226,136.81137450779832,145.50358243215715,159.56584551397322
123.29848624384547,137.36074932566154,146.05295725002034,160.1152203318364
123.8478610617087,137.91012414352477,146.60233206788357,160.66459514969964
124.39723587957192,138.459498961388,147.1517068857468,161.21396996756286
124.94661069743513,139.0088737792512,147.70108170361,161.76334478542606
148.21514229722695,134.16106328687997,125.47391412514443,111.41983511479744
148.7630456890799,134.7089666787329,126.02181751699737,111.96773850665038
149.31094908093286,135.25687007058588,126.56972090885034,112.51564189850335
149.8588524727858,135.80477346243882,127.11762430070328,113.06354529035629
150.40675586463877,136.3526768542918,127.66552769255625,113.61144868220926
150.9546592564917,136.90058024614473,128.2134310844092,114.1593520740622
151.50256264834468,137.4484836379977,128.76133447626216,114.70725546591517
152.05046604019762,137.99638702985064,129.3092378681151,115.25515885776811
