inphase,quadrature
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
-3.4194743950682107,0.9300857692576248
-2.665942545423593,1.49684059365119
-1.6019842395412127,1.9298871057812015
-0.32263970415044185,2.190542550440388
1.0578110236116813,2.255523353054748
2.4160563915632283,2.119024972055894
3.6307683861810056,1.7932404012919623
4.5934404027032425,1.3072710062010124
5.218079816973131,0.7045269855076013
5.44888945044704,0.03884966745714196
5.265251765975809,-0.6444770169011927
4.683570570994111,-1.3401619564119618
3.755805714256918,-1.9306215082207492
2.6613370532768963,-2.471266227331281
1.322726244492126,-3.0175165194568967
-0.1907617812821959,-3.4043568192556277
-1.757818722826746,-3.548380039020859
-3.2386943791722165,-3.348412262748095
-4.484321228003876,-2.724612367746162
-5.347361430080486,-1.6181369988280683
-5.694659346758241,0.0006946726094663634
-5.4203864294299,2.0885849289631406
-4.4589747073703405,4.428355357994453
-2.7967688278569796,6.6925097548577686
-0.47393759441404437,8.368580927806578
2.2622061856333753,9.008860150065475
5.049065490896074,8.519494013089888
7.500111693740454,7.074005291880749
9.34885152443382,5.010870308886203
10.490411944287734,2.621186084884627
10.89465306353078,0.052293869863007096
10.528896541254491,-2.603489316544948
9.3856518624304,-5.180520383256194
7.538468551234105,-7.445586136394753
5.1382661441759705,-9.172445985953884
2.3794315525373526,-10.175811598432318
-0.5157896303450838,-10.31035989728936
-3.295973470022199,-9.486214094923843
-5.695502779190025,-7.710272542745025
-7.47225486877235,-5.107799198354729
-8.443481678614782,-1.9074598277602113
-8.502800117173145,1.584318540754384
-7.623616741583871,5.003466524524093
-5.863008333797842,7.95638169301209
-3.3708585172124605,10.078610403375171
-0.39139611673172575,11.119572248836597
2.7616485980767145,11.006920821541803
5.758478240354275,9.845888213170658
8.312823176265647,7.85846080193415
10.216563113679324,5.3053815768740735
11.338344328066283,2.4333839665213035
11.607799260780379,-0.5339718914839366
11.014464699726647,-3.3816678010785535
9.62044020649672,-5.904677536838901
7.560471369736373,-7.930999219350576
5.0193845352724225,-9.334687054958719
2.204760869216776,-10.0240627620174
-0.6666984525271025,-9.925441012491884
-3.370115351947886,-8.988433806335973
-5.675652799551531,-7.216146766871635
-7.366123516746621,-4.69963016657602
-8.266743451543944,-1.6326427439775217
