low,mid,high
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
107.81990900435389,108.12752566141086,108.43514231846784
107.81990900435389,108.12752566141086,108.43514231846784
107.81990900435389,108.12752566141086,108.43514231846784
107.81990900435389,108.12752566141086,108.43514231846784
107.81990900435389,108.12752566141086,108.43514231846784
107.81990900435389,108.12752566141086,108.43514231846784
107.81990900435389,108.12752566141086,108.43514231846784
107.81990900435389,108.12752566141086,108.43514231846784
107.81990900435389,108.12752566141086,108.43514231846784
107.81990900435389,108.12752566141086,108.43514231846784
107.81990900435389,108.12752566141086,108.43514231846784
107.81990900435389,108.12752566141086,108.43514231846784
107.81990900435389,108.12752566141086,108.43514231846784
105.86058760932553,106.31418175715626,106.767775904987
105.86058760932553,106.31418175715626,106.767775904987
105.86058760932553,106.31418175715626,106.767775904987
105.86058760932553,106.31418175715626,106.767775904987
105.86058760932553,106.31418175715626,106.767775904987
105.86058760932553,106.31418175715626,106.767775904987
105.86058760932553,106.31418175715626,106.767775904987
105.86058760932553,106.31418175715626,106.767775904987
105.86058760932553,106.31418175715626,106.767775904987
117.40421636855136,117.69253609614918,117.98085582374699
117.40421636855136,117.69253609614918,117.98085582374699
117.40421636855136,117.69253609614918,117.98085582374699
117.40421636855136,117.69253609614918,117.98085582374699
117.40421636855136,117.69253609614918,117.98085582374699
117.40421636855136,117.69253609614918,117.98085582374699
117.40421636855136,117.69253609614918,117.98085582374699
117.40421636855136,117.69253609614918,117.98085582374699
117.40421636855136,117.69253609614918,117.98085582374699
117.40421636855136,117.69253609614918,117.98085582374699
117.40421636855136,117.69253609614918,117.98085582374699
117.40421636855136,117.69253609614918,117.98085582374699
116.34702479102033,116.80778629506305,117.26854779910578
116.34702479102033,116.80778629506305,117.26854779910578
116.34702479102033,116.80778629506305,117.26854779910578
116.34702479102033,116.80778629506305,117.26854779910578
116.34702479102033,116.80778629506305,117.26854779910578
116.34702479102033,116.80778629506305,117.26854779910578
116.34702479102033,116.80778629506305,117.26854779910578
116.34702479102033,116.80778629506305,117.26854779910578
116.34702479102033,116.80778629506305,117.26854779910578
128.26200359221093,128.54696515453742,128.83192671686393
128.26200359221093,128.54696515453742,128.83192671686393
128.26200359221093,128.54696515453742,128.83192671686393
128.26200359221093,128.54696515453742,128.83192671686393
128.26200359221093,128.54696515453742,128.83192671686393
128.26200359221093,128.54696515453742,128.83192671686393
128.26200359221093,128.54696515453742,128.83192671686393
128.26200359221093,128.54696515453742,128.83192671686393
128.26200359221093,128.54696515453742,128.83192671686393
128.26200359221093,128.54696515453742,128.83192671686393
128.26200359221093,128.54696515453742,128.83192671686393
128.26200359221093,128.54696515453742,128.83192671686393
127.51598735336138,127.98504445535048,128.45410155733956
127.51598735336138,127.98504445535048,128.45410155733956
127.51598735336138,127.98504445535048,128.45410155733956
127.51598735336138,127.98504445535048,128.45410155733956
127.51598735336138,127.98504445535048,128.45410155733956
127.51598735336138,127.98504445535048,128.45410155733956
127.51598735336138,127.98504445535048,128.45410155733956
127.51598735336138,127.98504445535048,128.45410155733956
