jaw,teeth,lips
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
103.1558507984203,105.79078781985666,107.03252484838644
101.40633091517769,104.66457400969036,106.38072244126543
100.12134766492898,103.6484036032248,105.75005520720586
99.45126641946796,102.85736079255639,105.20441583015872
99.48179732233366,102.38386055477191,104.80001892286633
100.23050496668327,102.29015479771627,104.58058330376035
101.65091352849612,102.60466563405991,104.57423668578618
103.64240261318041,103.32191065527263,104.79217554984066
106.06357089840077,104.40533877149676,105.22887068691215
108.74678086098042,105.79217620216004,105.86346569399983
111.51210232882211,107.39940035392367,106.66198566332166
114.17965210558982,109.13016482609532,107.58004037730764
116.58013494644592,110.88029851210429,108.56583039522552
118.5639933186376,112.54478587652095,109.56339322863947
120.0098081380237,114.02430757656022,110.51611069636495
120.83241224927542,115.2319237044486,111.37050425175165
120.99065964425567,116.09981380870111,112.08026497907055
120.49411603245278,116.5857016658648,112.61031953834029
119.4073343437952,116.67828299452412,112.94056606892171
117.85007687184077,116.40075141358238,113.068780058851
115.99199777822656,115.81147829607036,113.01214145400436
114.04094344984783,115.0011006527875,112.80690526393907
112.22506977279107,114.08570376220037,112.50593506070611
110.77020629693173,113.19638598834503,112.17411679531374
109.87504142164983,112.46614680016516,111.88201642929747
109.68748175918653,112.01560617646442,111.69846971536622
110.2857400647586,111.93941339066988,111.6830259268331
111.66723663953537,112.29524430472975,111.87925477413708
113.74731238301733,113.09698995690853,112.30984113812596
116.3682399561194,114.31314783482495,112.97414499271152
119.3173733891288,115.87064675201391,113.84853751145694
122.35182077950905,117.66351372462186,114.88940737208642
125.22604604819371,119.5650827047563,116.03834231590618
127.71848843366506,121.44198134759222,117.22870166509915
129.65367446726884,123.16799066000424,118.39265487005467
130.91727906545398,124.63606174597852,119.46778582660964
131.46294056512707,125.76723343433491,120.40253423645706
131.3110527086312,126.51581108594984,121.16001586211293
130.5409511975122,126.87080209871046,121.72006817019587
129.27865975228482,126.85412706487041,122.07964021959832
127.68255537687806,126.516444145041,122.2518335343459
125.92898676471277,125.93150205866118,122.26397753477707
124.19918786337472,125.18980034466652,122.15509271520004
122.66800277469706,124.39206209504869,121.9729884210673
121.49422604547935,123.64272073676229,121.77110871863705
120.81196235036562,123.04339419724455,121.60513202160142
120.72241993610164,122.68624289872014,121.52928938488516
121.28594722651424,122.64720845709432,121.59241170077475
122.51476018956932,122.97937669403505,121.83383844469651
124.3674708609567,123.70702176684883,122.27948514177044
126.74697821540099,124.82116050362607,122.93852141195036
129.5033313462492,126.27757151852889,123.80120114023575
132.44273182319031,127.99813741260654,124.83836768572408
135.34294646502107,129.87602860347457,126.00301111879254
137.9742186094954,131.78470493132735,127.23399338876766
140.12355045260327,133.59006338954046,128.46172344234276
141.619267087984,135.1644400994269,129.6152217935144
142.35231222129144,136.40072044063825,130.62973470025668
142.29091393695515,137.2246342874446,131.45390489082996
141.48610487842447,137.60347035514724,132.05551788158235
140.06694707154648,137.54992194123912,132.42502599416864
138.22594097035088,137.12049434505636,132.57637619229655
136.1966718318972,136.408728517904,132.54507314677466
134.2269530937761,135.53426953213685,132.3838190375432
132.55133261814115,134.62938697995605,132.15640993963805
131.3667293962986,133.82483497604997,131.93077515485058
130.81421235028907,133.23688401636713,131.77208966223768
