macd,signal,histogram
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
1.7591434070418899,-1.2409759465301795,3.000119353572069
3.29298162240471,-0.6364482706721943,3.9294298930769047
4.600845712248756,0.06185759371726565,4.53898811853149
5.596008025136115,0.7997443179064455,4.796263707229669
6.209759547912313,1.5210796819072279,4.688679866005085
6.365873376349313,2.167052174499506,4.198821201849807
6.045967800029885,2.6842409245702235,3.3617268754596616
5.272769895970725,3.0293781207569572,2.243391775213768
4.109281093510134,3.173365183790714,0.9359159097194198
2.6543576785145433,3.104164183087225,-0.44980650457268156
1.0348867538932183,2.8282605258613573,-1.793373771968139
-0.6049205738538319,2.370503045899332,-2.975423619753164
-2.1162844184343186,1.772264717321512,-3.888549135755831
-3.35996141175913,1.0879679001107598,-4.44792931186989
-4.196998051849135,0.38330577318277387,-4.580303825031909
-4.521261594789635,-0.27063654254688063,-4.250625052242754
-4.328914527101205,-0.8117402738207905,-3.517174253280414
-3.67421807428407,-1.1934039805492278,-2.4808140937348426
-2.6334205463374616,-1.3854061893209924,-1.2480143570164692
-1.3027999913918649,-1.3743920295971086,0.07159203820524374
0.22760958280161958,-1.1607918146106115,1.3884013974122311
1.8394270089916915,-0.7607626381303045,2.6001896471219963
3.3924248148803002,-0.20700431106222394,3.599429125942524
4.749092512464983,0.4538085987414037,4.29528391372358
5.786704941595133,1.1648614444552343,4.621843497139898
6.408606696123044,1.8640274780109423,4.544579218112102
6.55363151338932,2.4893080160613925,4.064323497327927
6.202675040971002,2.9844236193826736,3.218251421588328
5.3816418170074485,3.30405271239931,2.0775891046081383
4.143545725809645,3.415985114187355,0.7275606116222897
2.603396032318045,3.3076399032714474,-0.7042438709534022
0.933866432518613,2.991136773837736,-2.057270341319123
-0.6904635913286654,2.5002567251488825,-3.190720316477548
-2.1291551493490033,1.8830018085491647,-4.012156957898168
-3.2745162181650613,1.1953327383206012,-4.469848956485663
-4.054171154765868,0.49539888590907194,-4.54957004067494
-4.3960635313792835,-0.15679610306270877,-4.239267428316575
-4.26348704952899,-0.7043548959248797,-3.5591321536041107
-3.6623159453347967,-1.0987497025128685,-2.563566242821928
-2.639479930868987,-1.3041803996270176,-1.3352995312419693
-1.2800325207152667,-1.300960682438784,0.020928161723517302
0.29930043189261823,-1.0875925338612638,1.386892965753882
1.9597118214667546,-0.6812852864841946,2.640997107950949
3.5523354052629372,-0.11680252758457706,3.6691379328475144
4.931627153842314,0.5563214299390083,4.375305723903305
5.957013993358103,1.276413771728221,4.6806002216298825
6.49146145913474,1.9717534633824236,4.5197079957523165
6.4752202078070695,2.5722156959723765,3.903004511834693
5.975253666440182,3.0259540920347505,2.949299574405431
5.062018890101854,3.2974293984436978,1.764589491658156
3.8316102034963535,3.3686535057840516,0.46295669771230186
2.3826453434157884,3.2371857508016166,-0.8545404073858283
0.7973958714811147,2.911880433558883,-2.1144845620777684
-0.7866466352323584,2.4187434910533843,-3.2053901262857427
-2.2297166792504868,1.798948801679535,-4.028665480930021
-3.401846510171282,1.1055094267660928,-4.507355936937374
-4.194609340665949,0.3988269244418206,-4.593436265107769
-4.5314427723669155,-0.2585423684660108,-4.272900403900905
-4.375515049666035,-0.8074720592926806,-3.568042990373354
-3.7342578637760653,-1.197710166557132,-2.5365476972189334
-2.6526760321085305,-1.3917056152973184,-1.2609704168112121
