stop_long,stop_short
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
106.30750562837562,107.90469081176614
109.5394804437872,107.90469081176614
112.00390554825685,107.90469081176614
109.65063707783224,107.90469081176614
107.63136925482699,107.90469081176614
105.84129319743352,107.90469081176614
104.10065348852244,107.90469081176614
103.25813836515103,107.72723943793277
102.90128262725004,105.51904779283049
102.72702630329066,102.06215364151677
102.72702630329066,99.29564995148804
102.72702630329066,98.18004643741055
102.72702630329066,100.41213300838878
102.72702630329066,102.90735498378025
102.72702630329066,105.7616206979774
102.72702630329066,109.23185213056104
103.71360132104938,112.48736499974012
106.07783979451192,114.79013181035553
109.38363081737539,116.2278761556276
112.31755405755604,117.15097182465699
115.21589345569252,117.65079727923708
118.48884681118497,117.65079727923708
121.85252591431504,117.65079727923708
122.5046132300596,117.65079727923708
120.11807781921881,117.65079727923708
117.70358623329867,117.65079727923708
115.60590457853655,117.65079727923708
113.79051042498541,117.56761394679646
112.71679131057206,117.05174485294842
112.71679131057206,116.07740444987564
112.71679131057206,114.2390771115351
112.71679131057206,111.63998516859168
112.71679131057206,109.32261883231038
112.71679131057206,111.25408395847614
112.71679131057206,114.4237834232318
112.8370428352486,117.32997930093
113.30288378157066,120.04607750344444
113.37330673134856,122.65588481436983
114.65068733462947,125.26802011207516
117.57031071046268,126.97778577649187
122.00218947733727,127.5206078052743
126.47162319577684,127.99483094993069
130.0484291603516,127.99483094993069
133.0881476443958,127.99483094993069
133.1067215693585,127.99483094993069
131.1926421540313,127.99483094993069
128.8596284532021,127.99483094993069
126.40120489807916,127.99483094993069
125.18435689031611,127.91178489322596
124.81631299066521,126.3666113993342
124.28695934385212,124.55920525538966
123.85025856714523,122.83692136743741
123.85025856714523,120.92498976954829
123.85025856714523,119.39256477211481
123.85025856714523,121.87723098389718
123.85025856714523,124.75582016923856
123.85025856714523,128.06404891084847
123.85025856714523,131.15107173923533
124.73361817538458,133.95084759557142
126.51620244825686,136.55682728215993
128.80561969195458,138.5134215277091
131.4956444878934,138.9156294539393
135.07443778609596,138.9156294539393
138.852665733264,139.37202919121447
141.83228014408,139.37202919121447
143.02415635563986,139.37202919121447
140.7257356274533,139.37202919121447
138.7452669923238,139.37202919121447
136.98196803285364,139.37202919121447
135.24482960305258,139.37202919121447
134.6164553775105,138.86167152401222
134.32854915620624,136.38231648347124
