resistance,support
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
112.72390874531129,NaN
112.72390874531129,NaN
112.72390874531129,NaN
112.72390874531129,NaN
112.72390874531129,NaN
112.72390874531129,NaN
112.72390874531129,NaN
112.72390874531129,NaN
112.72390874531129,NaN
112.72390874531129,97.93278462060415
112.72390874531129,97.93278462060415
112.72390874531129,97.93278462060415
112.72390874531129,97.93278462060415
112.72390874531129,97.93278462060415
112.72390874531129,97.93278462060415
112.72390874531129,97.93278462060415
112.72390874531129,97.93278462060415
112.72390874531129,97.93278462060415
112.72390874531129,97.93278462060415
112.72390874531129,97.93278462060415
112.72390874531129,97.93278462060415
122.98099977052848,97.93278462060415
122.98099977052848,97.93278462060415
122.98099977052848,97.93278462060415
122.98099977052848,97.93278462060415
122.98099977052848,97.93278462060415
122.98099977052848,97.93278462060415
122.98099977052848,97.93278462060415
122.98099977052848,97.93278462060415
122.98099977052848,97.93278462060415
122.98099977052848,107.32068773822765
122.98099977052848,107.32068773822765
122.98099977052848,107.32068773822765
122.98099977052848,107.32068773822765
122.98099977052848,107.32068773822765
122.98099977052848,107.32068773822765
122.98099977052848,107.32068773822765
122.98099977052848,107.32068773822765
122.98099977052848,107.32068773822765
122.98099977052848,107.32068773822765
122.98099977052848,107.32068773822765
122.98099977052848,107.32068773822765
132.71696973631924,107.32068773822765
132.71696973631924,107.32068773822765
132.71696973631924,107.32068773822765
132.71696973631924,107.32068773822765
132.71696973631924,107.32068773822765
132.71696973631924,107.32068773822765
132.71696973631924,107.32068773822765
132.71696973631924,107.32068773822765
132.71696973631924,107.32068773822765
132.71696973631924,119.152517136663
132.71696973631924,119.152517136663
132.71696973631924,119.152517136663
132.71696973631924,119.152517136663
132.71696973631924,119.152517136663
132.71696973631924,119.152517136663
132.71696973631924,119.152517136663
132.71696973631924,119.152517136663
132.71696973631924,119.152517136663
132.71696973631924,119.152517136663
132.71696973631924,119.152517136663
132.71696973631924,119.152517136663
143.72992039092952,119.152517136663
143.72992039092952,119.152517136663
143.72992039092952,119.152517136663
