mama,fama
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
115.49040099775118,111.94765361474765
113.70752102999899,112.38762046856048
113.52220763470226,112.41598514771403
113.2812493729813,112.43761675334571
113.026718789299,112.45234430424455
112.80310655573204,112.46111336053173
112.6532869651131,112.46591770064626
112.61463082489792,112.46963552875255
112.7156128246528,112.47578496115004
112.97321628773724,112.48822074431472
113.39136699696094,112.51079940063087
119.08305569416893,114.1538634740154
119.52493966681409,114.28814037883537
120.07558489674919,114.4328264917832
120.69365348663378,114.58934716665446
121.33362550667604,114.757954125155
121.94977311961688,114.93774960001653
122.50015787920749,115.1268098069963
122.95029390532567,115.32239690945454
123.27614949662468,115.52124072413379
123.46621884794317,115.71986517722902
123.52247861485891,115.91493051316976
122.89912937543713,117.6609802287366
122.7732802354807,117.7887877289052
122.5908327069159,117.90883885335546
122.39425856902928,118.0209743462473
122.2282159503425,118.12615538634968
122.1355139279298,118.22638934988917
122.15324460814746,118.32456073134564
122.30942808292671,118.42418241513518
122.62046984791206,118.52908960095459
123.08965769941986,118.64310380341622
129.26140349380938,121.29767872601451
129.72610325397872,121.50838933921361
130.29663496003334,121.7280954797341
130.93136548885562,121.95817722996213
131.58469366448418,122.19884014082518
132.211035343511,122.44914502089233
132.76881139560348,122.70713668026012
133.2240821238984,122.97006031635108
133.55350326353093,123.23464639003058
133.74633930845428,123.49743871299117
133.80535413272818,123.75513659848458
133.21680450406154,126.12055357487883
133.09421690083633,126.29489515802776
132.91691237188468,126.46044558837417
132.72760897423012,126.61712467302056
132.57098576507005,126.7659712003218
