upper,middle,lower
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
321.248595925725,107.082865308575,-107.082865308575
320.8809335562672,106.96031118542241,-106.96031118542241
319.65296857556774,106.55098952518925,-106.55098952518925
317.80838197078725,105.93612732359576,-105.93612732359576
315.6459357023118,105.21531190077062,-105.21531190077062
313.49278518761923,104.49759506253974,-104.49759506253974
311.675255482187,103.89175182739567,-103.89175182739567
310.4896916341646,103.49656387805487,-103.49656387805487
310.17598706381204,103.39199568793734,-103.39199568793734
310.8961545987311,103.63205153291037,-103.63205153291037
312.71985435049044,104.23995145016349,-104.23995145016349
315.61817118432464,105.20605706144154,-105.20605706144154
319.466197622006,106.48873254066868,-106.48873254066868
324.05419145486917,108.01806381828972,-108.01806381828972
329.1063113906457,109.7021037968819,-109.7021037968819
334.3052571345783,111.4350857115261,-111.4350857115261
339.3206128797511,113.10687095991703,-113.10687095991703
343.83836236706026,114.61278745568676,-114.61278745568676
347.5889390224205,115.86297967414018,-115.86297967414018
350.37130553599127,116.79043517866376,-116.79043517866376
352.0709119263248,117.35697064210828,-117.35697064210828
352.66992794905065,117.55664264968355,-117.55664264968355
352.24883581950206,117.41627860650068,-117.41627860650068
350.97924097611667,116.99308032537222,-116.99308032537222
349.10854307770484,116.36951435923494,-116.36951435923494
346.93783652874663,115.64594550958222,-115.64594550958222
344.7950146129743,114.93167153765809,-114.93167153765809
343.0054797628849,114.33515992096163,-114.33515992096163
341.8630763295759,113.9543587765253,-113.9543587765253
341.6038423420034,113.86794744733447,-113.86794744733447
342.3849249328367,114.12830831094557,-114.12830831094557
344.2705428531198,114.75684761770661,-114.75684761770661
347.22625000250105,115.742083334167,-115.742083334167
351.1220123967876,117.04067079892921,-117.04067079892921
355.7438237164803,118.58127457216008,-118.58127457216008
360.81282185392917,120.2709406179764,-120.2709406179764
366.010198834889,122.00339961162967,-122.00339961162967
371.00567898536815,123.66855966178939,-123.66855966178939
375.4870214739423,125.16234049131411,-125.16234049131411
379.18791185529403,126.39597061843133,-126.39597061843133
381.91175114646154,127.30391704882051,-127.30391704882051
383.54921742846574,127.84973914282192,-127.84973914282192
384.0880312477443,128.0293437492481,-128.0293437492481
383.6140525031672,127.87135083438908,-127.87135083438908
382.3036108369829,127.43453694566097,-127.43453694566097
380.4077546330303,126.80258487767678,-126.80258487767678
378.2298256122957,126.07660853743191,-126.07660853743191
376.09836222040474,125.36612074013492,-125.36612074013492
374.3377522667448,124.7792507555816,-124.7792507555816
373.2392563275607,124.41308544252024,-124.41308544252024
373.0349903061262,124.34499676870873,-124.34499676870873
373.8771912104035,124.62573040346784,-124.62573040346784
375.8246182745228,125.27487275817427,-125.27487275817427
378.83730417139634,126.27910139046546,-126.27910139046546
382.7801251750151,127.59337505833837,-127.59337505833837
387.4348713604604,129.14495712015346,-129.14495712015346
392.51973864661306,130.83991288220435,-130.83991288220435
397.71450151543644,132.57150050514548,-132.57150050514548
402.6891178037904,134.2297059345968,-134.2297059345968
407.13321038691674,135.71107012897224,-135.71107012897224
410.78379224261175,136.92793074753726,-136.92793074753726
413.4487582986794,137.81625276622648,-137.81625276622648
415.02404560689286,138.34134853563094,-138.34134853563094
415.50292897623365,138.50097632541122,-138.50097632541122
414.97662171417693,138.3255405713923,-138.3255405713923
413.62612781359,137.87537593786334,-137.87537593786334
411.70607340512555,137.23535780170852,-137.23535780170852
