median,upper,lower
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
138.13379981168666,153.5903388831148,122.67726074025849
139.30589937241328,154.76243844384143,123.84936030098511
140.4779989331399,155.93453800456805,125.02145986171173
141.65009849386652,157.10663756529468,126.19355942243835
142.82219805459314,158.2787371260213,127.36565898316498
143.99429761531977,159.45083668674792,128.53775854389158
145.16639717604642,160.62293624747457,129.70985810461826
146.33849673677304,161.7950358082012,130.88195766534488
147.51059629749966,162.9671353689278,132.0540572260715
148.68269585822628,164.13923492965444,133.22615678679813
149.8547954189529,165.31133449038106,134.39825634752475
116.38708046816012,131.99293946067135,100.78122147564889
116.16761465158264,131.77347364409388,100.56175565907141
115.94814883500517,131.5540078275164,100.34228984249394
115.72868301842769,131.33454201093892,100.12282402591646
115.50921720185022,131.11507619436145,99.90335820933899
115.28975138527275,130.89561037778398,99.68389239276152
115.07028556869527,130.6761445612065,99.46442657618404
114.8508197521178,130.45667874462902,99.24496075960657
114.63135393554032,130.23721292805155,99.02549494302909
149.90312728485273,164.58343115980426,135.22282340990122
151.1865172964635,165.86682117141504,136.506213421512
152.4699073080743,167.15021118302582,137.7896034331228
153.7532973196851,168.4336011946366,139.07299344473358
155.0366873312959,169.71699120624743,140.3563834563444
156.3200773429067,171.0003812178582,141.6397734679552
157.60346735451748,172.28377122946898,142.92316347956597
158.88685736612828,173.56716124107982,144.20655349117678
160.17024737773906,174.8505512526906,145.48994350278755
