plus_di,minus_di,adx
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
39.5757019682593,10.51553170206367,30.912276792040817
37.536261624936586,10.906948307963743,32.63069750889788
35.215165462446194,12.883060473369223,33.61637662813429
32.86410166086221,15.606658308025656,33.758337048896145
30.70333902684003,18.50628500756431,33.11744953242373
28.583754140794692,21.990805693589266,31.683067176177246
26.55934622279741,25.269437743189002,29.597761510222966
24.849750313093512,27.34663879718962,27.82532441495794
23.505186308008465,28.419972295720065,26.513882262566277
22.24831894567969,28.255382095825222,25.469626589930424
21.991214452481188,26.24217101526044,24.279889509686143
23.0167314852192,24.206077112686202,22.725510472977113
25.270075861089534,22.49633154108633,21.51703781909767
28.167925277844184,20.797978949255484,21.055190823958306
32.199512135355,19.002819811263755,21.39222118044018
36.67556284467224,17.08189161927664,22.467654445091764
39.66767810504092,15.312333278446436,24.027003737037383
41.25710485757308,13.864063299710923,25.86050681733179
41.90255145462447,12.778588478409224,27.8177163877859
42.395628716412624,11.937994453509367,29.834786399099126
41.39315313749411,11.291691494482587,31.784798356703554
38.98369312390027,10.942263455121635,33.52631517717672
36.80520205991526,11.790866997951634,34.808291852450445
34.33471861125097,14.165199105275695,35.29246448522293
31.575896425438806,17.056390539549085,34.90412360474046
29.011655429985023,19.499990165743316,33.81146999165209
26.941362744011517,21.41861333571675,32.21208520671275
25.293388618220902,23.528371409730532,30.16945244226847
23.70108159294569,26.085794270270323,28.356623123061247
21.9818825371455,26.753559469925122,27.030505691607747
20.4556018343849,25.575479039846915,25.894230469505597
19.315305653157523,24.149775639951073,24.839117763267886
20.15346427198841,22.836532180755725,23.510691119817217
22.621623373749483,21.279561359099215,22.049713637827605
26.102172398824052,19.564946484191104,21.497230627213543
29.5794011460886,17.914862734831026,21.71599192763469
33.103914522491884,16.421886804841026,22.570814571368153
36.988461875248944,14.998303176938437,23.980008725527608
39.75301194225335,13.75986552582622,25.73669586768207
41.37315229671887,12.777991517838071,27.67023180773477
42.48135161688847,11.981093863498268,29.693955639647385
42.62294720176041,11.257736731480932,31.730983563876975
40.47684671425082,10.451870979556956,33.67554918447296
37.62379013468778,11.104415435913893,35.1575133843429
35.445073236866044,12.840589537363048,35.99012453099969
33.361147221464314,15.58241905716853,36.014040954862004
30.784559395666363,20.10967847345435,34.9397977135121
28.101022653590128,23.891333482064333,33.02243689823779
25.724805235133402,26.22784634752717,30.732853434649453
23.898483996930594,27.16675703876092,28.994806129209827
22.507592062957475,27.59047661188655,27.648453495608493
21.169522519356338,26.35196828602853,26.452526680749255
21.224977830554703,24.775436644747092,25.11436900225873
