squeeze,momentum
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
0,-0.8935217401788644
0,-3.821810359291117
0,-6.390529945695875
0,-8.258428687131229
0,-9.134099788817597
0,-8.916990403772624
0,-7.604162511318904
0,-5.139435353846514
0,-1.5504178491421678
0,1.503043700255021
0,4.642117216769006
0,7.779286863202994
0,10.745337593857695
0,13.290680491419108
0,15.1529142610031
0,15.958013587992959
0,15.50375574734951
0,13.798685171540876
0,10.945217592104513
0,7.383375813223646
0,3.2576740962360757
0,-0.8849960701769106
0,-3.7436685047164797
0,-6.203127485433793
0,-7.962442536869785
0,-8.77864025909063
0,-8.499267868789314
0,-7.111014010964408
0,-4.661717643362037
0,-1.3550071785165088
0,1.4055226529616918
0,4.583852792833621
0,7.872266501365015
0,10.8363126060919
0,13.383210982813095
0,15.186081958879193
0,15.929545552127186
0,15.566436942704494
0,13.888318084663942
0,10.982821803925418
0,7.13612049925065
0,2.8676898872017165
0,-1.158843897519322
0,-3.976465163099033
0,-6.476683868515721
0,-8.241255998702181
0,-8.99767889832547
0,-8.656051807142468
0,-7.224559500320049
0,-4.563578313119637
0,-1.10143331227927
0,1.6982448217655763
0,4.833067133364143
0,8.043667387581516
0,10.931765354842055
0,13.244039343301752
0,14.869335458568923
0,15.551023802478595
0,14.951888033375766
0,13.18202104590731
0,10.388256569761559
0,6.789206831793427
0,2.6132615288499816
0,-1.407984025345005
0,-4.277603418767797
0,-6.776075481929479
0,-8.488122600276368
