price,size,timestamp
100,1,0
103.4552020666134,2,350
106.64642473395035,3,700
109.33326909627483,4,1050
111.32039085967226,5,1400
112.47494986604055,1,1750
112.73847630878196,2,2100
112.13209366648874,3,2450
110.75463180551151,4,2800
108.7737988023383,5,3150
106.41120008059868,1,3500
103.92254305856751,2,3850
101.57479556705148,3,4200
99.62233840816026,4,4550
98.28424227586412,5,4900
97.72469882334903,1,5250
98.0383539116416,2,5600
99.24185317672267,3,5950
101.27235512444012,4,6300
103.99314457402363,5,6650
107.20584501801073,1,7000
110.6681390048435,2,7350
114.11541363513378,3,7700
117.28439764388199,4,8050
119.93667863849153,5,8400
121.87999976774739,1,8750
122.98543345374605,2,9100
123.19889810845086,3,9450
122.5459890808828,4,9800
121.12969230082183,5,10150
119.12118485241757,1,10500
116.74454423507063,2,10850
114.2567321877702,3,11200
111.92464106224679,4,11550
110.00125312406458,5,11900
108.7030424002833,1,12250
108.19063769933508,2,17600
108.55447411796011,3,17950
109.80671474335324,4,18300
111.88016416080967,5,18650
114.63427081999565,1,19000
117.86768208634197,2,19350
121.33623047221137,3,19700
124.77474439137693,4,20050
127.92073514707224,5,20400
130.5378442655162,1,20750
132.43695669444105,2,21100
133.49309388747918,3,21450
133.65657776549278,4,21800
132.95746831142935,5,22150
131.50287840157117,1,22500
129.46740573130614,2,22850
127.07753652299444,3,23200
124.59141418625812,4,23550
122.27578013601534,5,23900
120.38214657630877,1,24250
119.12432966418496,2,24600
118.65934994918358,3,24950
119.07340619529367,4,25300
120.37417550208815,5,25650
