value,direction
98,1
101.38609802528113,1
104.51349623927135,1
107.14660371434934,1
109.09398304247881,1
110.22545086871973,1
110.48370678260632,1
110.48370678260632,1
110.48370678260632,1
110.94927477838507,-1
108.53942408221064,-1
106.00099391973886,-1
103.6062914783925,-1
101.61478517632347,-1
100.2499271213814,-1
99.67919279981601,-1
99.67919279981601,-1
99.67919279981601,-1
99.24690802195133,1
101.91328168254316,1
105.06172811765052,1
108.45477622474662,1
111.8331053624311,1
114.93870969100435,1
117.5379450657217,1
119.44239977239245,1
120.52572478467113,1
120.73492014628184,1
120.73492014628184,1
120.73492014628184,1
121.50360854946592,-1
119.07943511977204,-1
116.54186683152561,-1
114.16313388349172,-1
112.20127818654586,-1
110.87710324828896,-1
110.35445045332179,-1
110.35445045332179,-1
110.35445045332179,-1
109.64256087759348,1
112.34158540359573,1
115.51032844461513,1
118.90950586276713,1
122.27924950354938,1
125.36232044413079,1
127.92708738020589,1
129.78821756055223,1
130.8232320097296,1
130.98344621018293,1
130.98344621018293,1
130.98344621018293,1
132.05675384593226,-1
129.61908725345432,-1
127.08324246998329,-1
124.72129573873565,-1
122.78978950783495,-1
121.50681625746866,-1
121.03253694816725,-1
121.03253694816725,-1
121.03253694816725,-1
120.04032498163757,1
122.77137582165803,1
125.95965811498108,1
129.36414234050673,1
132.72448630243494,1
135.7842907232521,1
138.31400262756964,1
140.13142062574937,1
141.11797042139818,1
141.22929670012073,1
141.22929670012073,1
141.22929670012073,1
142.60875501488042,-1
140.15842864523844,-1
137.62516850981106,-1
135.2808199729028,-1
133.38035348834873,-1
132.13908884823925,-1
131.71346130716938,-1
131.71346130716938,-1
