fast,slow
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
32.45362805890103,41.920277092145845
33.56092803656679,39.83043982825108
39.226991550958545,39.67957775892795
45.258288715993814,41.07425549819442
51.69748429590247,43.730062697621435
56.82641113752357,47.00414980759697
61.33424962710335,50.586674762473564
66.21068417845896,54.49267711646991
71.6454891033392,58.78088011318724
75.50818491828083,62.96270631446063
77.34489658275601,66.55825388153448
78.21407371351536,69.4722088395297
78.75599910017475,71.79315640469096
78.50369927975811,73.47079212345776
71.47941085748869,72.9729468069655
61.75837255119319,70.16930324302243
52.05253469300779,65.64011110551877
42.913144706336055,59.95836950572309
35.821377227568895,53.92412143618454
31.17975159803672,48.238028976647584
28.088326975287117,43.20060347630747
26.566401108586824,39.04205288437731
27.96719463750689,36.273338322659704
36.29767245457218,36.27942185563782
44.790411945208476,38.40716937803049
53.5626646632475,42.19604319933474
61.812287113232316,47.10010417780913
67.96887456265196,52.31729677401984
71.09841311966247,57.012575860430495
72.68013594857409,60.92946588246639
73.96795438187091,64.18908800731752
75.249918695176,66.95429567928214
75.30716165478819,69.04251217315866
74.4624101152477,70.39748665868092
72.00057086330969,70.79825770983811
65.96154581820551,69.58907973692996
59.02967753722452,66.9492291870036
52.794600081391806,63.41057191060065
46.44641340041422,59.169532283054046
39.582429843711566,54.272756673218424
33.26737449156396,49.02141112780481
29.910186820884146,44.243605051074645
28.685130946929437,40.353986525038344
28.262930784964876,37.331222590019976
31.693131045713734,35.92169970394342
40.434479349696794,37.04989461538176
49.243868909198746,40.098388188836005
57.06905391699704,44.341054620876264
64.23148845256677,49.31366307879889
70.49316626585438,54.60853887556276
74.60713765599111,59.60818857066984
77.24630108215892,64.01771669854212
79.14440066385328,67.7993876898699
79.35498203636267,70.6882862764931
76.32056928379882,72.09635702831953
69.13127783613974,71.35508723027459
59.73480256302499,68.45001606346219
50.11496018740293,63.866252094447375
41.396222547237294,58.24874470764486
36.42898891999502,52.793805760732404
34.106704885572476,48.12203054194242
32.54091852778273,44.2267525384025
31.070538380603182,40.93769899895267
30.844562730145068,38.41441493175077
32.82021258814852,37.015864345850204
38.697118971297606,37.43617800221205
