poc,vah,val
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
99.54309832541462,109.15611885844513,96.33875814773778
99.54309832541462,109.95720390286434,97.13984319215699
111.55937399170276,114.7637141693796,101.94635345867225
111.64283084076067,114.86429037209041,101.97845224677144
111.43255281280342,115.18875576729438,101.10299468795326
99.64854324445065,111.30957290392128,96.46826242823138
98.79546532812748,111.3673640195644,96.50966556604803
98.89130252546786,113.06611964517838,96.5288330055161
98.89130252546786,113.06611964517838,96.5288330055161
98.89130252546786,115.42858916513012,96.5288330055161
121.3347629650095,123.69723248496126,101.25377204541961
121.3347629650095,123.69723248496126,101.25377204541961
121.3347629650095,123.69723248496126,101.25377204541961
121.3347629650095,123.69723248496126,103.61624156537137
121.3347629650095,123.69723248496126,105.97871108532311
121.3347629650095,123.69723248496126,109.52241536525075
121.39836186308636,123.70995226457663,109.84040985563499
121.54253056866325,123.738786005692,109.46312566500511
121.7844846291034,123.78717681778004,109.76833149704358
109.41757537168279,120.23232045769473,106.7138891001798
109.19378668856066,120.03054999468576,106.87162312296242
121.65993568111494,123.91243355297287,111.14827894577793
121.65993568111494,123.91243355297287,111.89911156973056
121.65993568111494,123.91243355297287,111.89911156973056
121.48741075094989,124.09647541281232,111.05115210350019
121.73020615620499,124.72291698190548,110.75693312863649
123.17918660976211,124.27023949490253,110.08655198807718
109.19026351021895,122.04880863880511,106.85234621411239
109.26633077089463,122.45957184645371,106.86755966624752
109.2676162653639,123.66641326669901,106.86781676514137
109.2676162653639,126.06621276692154,106.86781676514137
132.06571151747784,134.46551101770035,111.66741576558641
132.06571151747784,134.46551101770035,111.66741576558641
132.06571151747784,134.46551101770035,111.66741576558641
132.06571151747784,134.46551101770035,112.86731551569767
132.06571151747784,134.46551101770035,115.2671150159202
132.06571151747784,134.46551101770035,118.86681426625398
132.06571151747784,134.46551101770035,120.06671401636524
132.17538035582595,134.48744478536997,120.61505820810581
132.4201717623333,134.53640306667145,120.78089958847339
120.87345097836938,130.94519994986956,117.21099680691476
120.87885723654206,130.08097852705922,117.81148347303635
121.3368439577556,129.49980537856663,117.62640694829605
131.7260675842424,133.9523297899181,122.07893135964753
131.7260675842424,133.9523297899181,122.07893135964753
120.91959594913983,131.5051570876435,119.29104808167772
132.9299032315107,134.82984747201505,121.53023778848481
120.94401717512378,131.48302839733432,117.78231380846061
121.24214456264362,131.49386794482697,117.82490343524917
121.45832348261571,132.26593551615588,117.85578613810232
121.53062329152147,132.5241491193907,117.86611468223171
121.53062329152147,136.18865772868045,117.86611468223171
121.53062329152147,139.8531663379702,117.86611468223171
121.53062329152147,141.07466920773345,117.86611468223171
121.53062329152147,141.07466920773345,117.86611468223171
142.2961720774967,145.96068068678645,122.7521261612847
142.2961720774967,145.96068068678645,126.41663477057446
142.2961720774967,145.96068068678645,128.85964051010095
142.3980876313401,145.9752400516212,130.47424623040308
142.5728403530215,146.00020472614713,130.00583765156082
129.97750876312355,142.82441716973867,127.83635736202103
