upper,middle,lower,stddev
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
115.28678132658239,104.88573811030454,94.4846948940267,5.200521608138923
115.44235076607586,105.24603036120509,95.04970995633431,5.09816020243539
116.03179708457735,105.6066772081166,95.18155733165584,5.212559938230376
117.04307249141937,105.98012665317576,94.91718081493215,5.531472919121801
118.42198305380603,106.37768308055612,94.33338310730622,6.022149986624952
120.08275668667484,106.80849746949708,93.53423825231933,6.6371296085888805
121.91875364904465,107.27874996458243,92.63874628012022,7.320001842231104
123.8116460480557,107.79109782183063,91.77054959560556,8.010274113112539
125.6402305037452,108.34443804392873,91.04864558411226,8.647896229908236
127.28963390911576,108.9340059076973,90.57837790627883,9.177814000709231
128.66054775090979,109.55180058262148,90.44305341433319,9.554373584144146
129.67757252249882,110.18729982121242,90.697027119926,9.745136350643206
130.29572502322048,110.82839988003758,91.36107473685466,9.733662571591458
130.50437915457337,111.46249671107351,92.42061426757365,9.52094122174993
130.32821912788748,112.07761184377785,93.82700455966821,9.125303642054819
129.82512393470358,112.66346238618786,95.50180083767214,8.580830774257866
129.0812497442421,113.21237956503458,97.34350938582706,7.934435089603757
128.20390619100422,113.71999375441925,99.23608131783428,7.241956218292487
127.31306469234063,114.18562480148113,101.05818491062162,6.56371994542975
126.53231715555852,114.61234278242678,102.69236840929504,5.959987186565866
125.97953405782015,115.00669376176609,104.03385346571203,5.486420148027029
125.7563856500273,115.37811505186532,104.99984445370335,5.189135299080986
125.93578705987545,115.73809220594025,105.54039735200504,5.098847426967599
126.54962545900888,116.09913304779413,105.64864063657937,5.225246205607375
127.58328650420142,116.47365038516888,105.36401426613634,5.5548180595162755
128.98050368815004,116.87285321059791,104.76520273304578,6.053825238776066
130.65406780761754,117.30574543548636,103.95742306335518,6.674161186065586
132.49645112780837,117.7783215975211,103.06019206723381,7.35906476514364
134.38892887265897,118.29303138647252,102.19713390028608,8.04794874309322
136.21040535734744,118.84856082070301,101.48671628405859,8.68092226832221
137.84663929676972,119.4399496212334,101.03325994569707,9.203344837768164
139.19945460275903,120.05903429869107,100.91861399462312,9.570210152033976
140.19500555470216,120.69517737350284,101.19534919230354,9.749914090599653
140.79015691470312,121.33621759026406,101.882278265825,9.726969662219531
140.97626533174224,121.96955624646463,102.96284716118704,9.503354542638798
140.77995945870038,122.58328259706217,104.38660573542396,9.098338430819101
140.260857095986,123.16723780586344,106.07361851574085,8.546809645061293
139.50650532565697,123.71392240410593,107.92133948255488,7.8962914607755215
138.6251564861944,124.21916619566711,109.8131759051398,7.202995145263656
137.7372262869926,124.68250076826413,111.62777524953566,6.527362759364235
136.966237758259,125.10720133532806,113.2481649123971,5.929518211465478
136.4294479713793,125.49999417094243,114.57054037050557,5.464726900218429
136.22726554012084,125.87045577181196,115.5136460035031,5.178404884154435
136.43060069072004,126.23015741733309,116.02971414394614,5.100221636693475
137.06878377954152,126.59163154166765,116.11447930379379,5.238576118936931
138.1246506590602,126.96725224872398,115.80985383838777,5.578699205168103
139.53989769929848,127.36812997030798,115.19636224131749,6.085883864495246
141.2259121902239,127.80311900433946,114.38032581845502,6.711396592942223
143.07430661727872,128.27802658678945,113.48174655630018,7.3981400152446355
144.96598686097414,128.79509414858614,112.62420143619813,8.085446356194003
146.77999404812755,129.35279709526574,111.92560014240392,8.713598476430908
148.4027479118816,129.94598099445523,111.48921407702886,9.228383458713186
149.73723100643338,130.56632200596502,111.39541300549668,9.585454500234171
150.71117162894672,131.20307042564278,111.69496922233884,9.754050601651972
151.28329448947406,131.8440109244298,112.40472735938555,9.719641782522126
151.44694145155924,132.47655370732565,113.50616596309206,9.485193872116792
151.23067836293382,133.08885912227996,114.9470398816261,9.07090962032693
150.69584577480222,133.6708952610486,116.64594474729496,8.512475256876817
149.9313587583977,134.21533407967956,118.49930940096144,7.85801233935906
149.04638529169472,134.71820599085456,120.3900266900144,7.164089650420084
148.16175684927975,135.17925445530156,122.19675206132335,6.491251196989104
