buy_risk,sell_risk
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
93.07186250562944,NaN
92.71188454772148,NaN
92.71188454772148,NaN
92.71188454772148,NaN
92.71188454772148,NaN
92.71188454772148,NaN
92.71188454772148,NaN
92.71188454772148,NaN
92.71188454772148,NaN
92.71188454772148,122.83545306981419
92.71188454772148,125.47652666668256
92.71188454772148,127.3412370551282
92.71188454772148,127.80012946880566
92.71188454772148,127.80012946880566
92.71188454772148,127.80012946880566
92.71188454772148,127.80012946880566
92.71188454772148,127.80012946880566
92.71188454772148,127.80012946880566
92.71188454772148,127.80012946880566
92.71188454772148,127.80012946880566
92.71188454772148,127.80012946880566
104.37459422021398,127.80012946880566
103.76919217405869,127.80012946880566
102.63417732808526,127.80012946880566
102.63417732808526,127.80012946880566
102.63417732808526,127.80012946880566
102.63417732808526,127.80012946880566
102.63417732808526,127.80012946880566
102.63417732808526,127.80012946880566
102.63417732808526,127.80012946880566
102.63417732808526,135.64436260000252
102.63417732808526,136.985537119839
102.63417732808526,138.107904621213
102.63417732808526,138.11126736860027
102.63417732808526,138.3074061546194
102.63417732808526,138.3074061546194
102.63417732808526,138.3074061546194
102.63417732808526,138.3074061546194
102.63417732808526,138.3074061546194
102.63417732808526,138.3074061546194
102.63417732808526,138.3074061546194
102.63417732808526,138.3074061546194
113.66538766950968,138.3074061546194
113.47274456796245,138.3074061546194
113.47274456796245,138.3074061546194
113.47274456796245,138.3074061546194
113.47274456796245,138.3074061546194
113.47274456796245,138.3074061546194
113.47274456796245,138.3074061546194
113.47274456796245,138.3074061546194
113.47274456796245,138.3074061546194
113.47274456796245,144.67623897860489
113.47274456796245,146.5425816641148
113.47274456796245,148.04984715794035
113.47274456796245,149.3825577327336
113.47274456796245,150.49289564751314
113.47274456796245,150.49289564751314
113.47274456796245,150.49289564751314
113.47274456796245,150.49289564751314
113.47274456796245,150.49289564751314
113.47274456796245,150.49289564751314
113.47274456796245,150.49289564751314
113.47274456796245,150.49289564751314
124.44618080650704,150.49289564751314
124.20338046635754,150.49289564751314
124.20338046635754,150.49289564751314
