value,direction
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
91.29875872309916,1
91.29875872309916,1
91.29875872309916,1
91.29875872309916,1
92.07103671844938,1
94.22430748456605,1
96.80226929538112,1
99.69272728687389,1
102.77405717565748,1
105.90522068408842,1
108.79818949583779,1
111.27394065801953,1
113.16128694361036,1
114.39727169824715,1
114.97012453077498,1
114.97012453077498,1
114.97012453077498,1
114.97012453077498,1
114.97012453077498,1
122.32992158847506,-1
119.86769996285012,-1
117.67546044710353,-1
115.99352187625053,-1
115.12173952449787,-1
115.12173952449787,-1
115.12173952449787,-1
115.12173952449787,-1
115.12173952449787,-1
110.4451367426848,1
113.89971206266269,1
117.2268340450663,1
120.22613706457794,1
122.7177592700803,1
124.49568424339549,1
125.46574289581511,1
125.49864270280119,1
125.49864270280119,1
125.49864270280119,1
125.49864270280119,1
125.49864270280119,1
132.43103639739715,-1
130.27620327072526,-1
128.52332731909587,-1
127.39912623517083,-1
126.92386220494058,-1
126.92386220494058,-1
126.92386220494058,-1
126.92386220494058,-1
126.92386220494058,-1
120.40633934693712,1
123.73952539628792,1
127.11950193496887,1
130.3288146742793,1
133.15105301273755,1
135.32152680200446,1
136.59993837365704,1
136.7869495016887,1
136.7869495016887,1
136.7869495016887,1
136.7869495016887,1
136.7869495016887,1
142.32454350406982,-1
140.03048669178347,-1
138.17628285456885,-1
136.978128945105,-1
136.67657113823597,-1
136.67657113823597,-1
