upper,lower
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
2.6349370214363574,-1.2417370285297835
3.2582430945126646,-1.7161484315750783
3.527055938295831,-2.101651603981054
3.406094373088436,-2.347055037602331
2.902063232438252,-2.4161583680944148
2.059649831032999,-2.29042850604408
0.9537521055637939,-1.9695710517262626
0.32049195790777674,-1.4702648945680323
1.6582321269040108,-0.8235319154153871
2.9546046588203865,-0.07128949183979216
4.112701974898442,-0.7374146906020087
5.0494872794945,-1.5501244487876846
5.699836434341634,-2.3144681168787713
6.019207442116652,-2.981392647881478
5.985500561463482,-3.508196880195271
5.600488544826817,-3.86141945269695
4.890845835554558,-4.0195488296305655
3.9084143665879765,-3.9753821275245116
2.7290513492710744,-3.737716925602413
1.4493254582583859,-3.3319713547313796
0.18051948215619973,-2.7993368420659976
0.9601572029396692,-2.194195388848428
1.860633989409294,-1.5797687014942596
2.426179691413296,-1.022269193031292
2.591105378515337,-0.5841303708676975
2.328124417277891,-0.31713646109820104
1.653673325911285,-0.2563874638367878
0.6280076651943745,-0.4159895305926682
0.6503224261088008,-0.787148818782569
2.05509212129445,-1.3390028421134303
3.4467266371148924,-2.022109240556972
4.68830705488719,-2.7741063525354406
5.660963343437402,-3.526740388850129
6.27650708607284,-4.2132796824930665
6.485683807264607,-4.775335789949565
6.281217319475459,-5.168275919368881
5.695707130792158,-5.364699197877854
4.79524162268136,-5.355795223836907
3.67014909880173,-5.150733928514583
2.4245326874144126,-4.774486845272094
1.16611123183705,-4.264610610695101
0.0025152939484058834,-3.6675245238841114
0.9906124812918051,-3.0347076294664816
1.7240593203516283,-2.419073673981387
2.1484946912829344,-1.8716120181252336
2.231431846878934,-1.438262175643132
1.9638229626184938,-1.1569535138349778
1.3612612305800837,-1.0547967563195755
0.464616504465738,-1.1455382493385429
0.6604490941078751,-1.427536625078389
1.9258177117749113,-1.8826390916757134
3.2257598277203243,-2.47637037829314
4.444594410583775,-3.159769726882459
5.466917861546506,-3.8730174846820233
6.189513678168055,-4.5507115425596965
6.5334870630628075,-5.128339947197702
6.454826988557102,-5.549218305912518
5.951591780653189,-5.770985740381576
5.066279649510562,-5.770729396614627
3.8826345232772326,-5.547952473564891
2.51702513030736,-5.124895947070485
1.105446625294519,-4.544118152759808
0.21205668600680383,-3.86365537112934
1.3073164383607434,-3.150450494593656
2.0780543618149068,-2.472977040318
2.4581055797513613,-1.8940598211993915
2.4226716660780596,-1.4647943541294524
