long_stop,short_stop
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
107.32897081939211,105.32148747345464
107.42074296008256,104.09061418840149
107.51294664407494,103.58952567304243
107.61308625276025,103.48938606435712
107.69243428197349,103.41003803514388
107.6606439207728,103.44182839634458
107.47479533484851,103.62767698226887
106.62712316441664,103.87086912120324
104.59205845212728,104.0700659187122
107.0589927114553,104.1461957275795
110.23087758380629,104.18277139419587
113.13965115417652,104.17902662663393
115.14799908593373,104.1580293100759
116.15341150017538,104.07265399030199
116.35653661892826,103.86952887154911
116.5203874453189,103.70567804515846
116.59696466491756,104.23965024709756
116.63255024329197,105.58808424226137
116.67647636726595,107.8669170985128
116.69349020440602,110.2527193534685
116.69598949309722,113.30240171201528
116.75122421093604,116.05197955520579
116.88765040737623,114.58812312971224
117.02658968566436,113.75797713411309
117.02615261818464,113.5295641368503
116.97579536551575,113.57992138951919
116.98049313398823,113.5752236210467
116.88305540884195,113.60892093359806
116.42464376362042,113.73019401738219
115.62485399687992,113.97824992974655
119.15157797490386,114.25667310016703
122.01497499999813,114.46244538577734
124.19639881797293,114.52460420556842
126.11518548215236,114.475555851298
126.99481650718974,114.32617052874701
127.1196153337329,114.21371244910884
127.24987689841223,114.08345088442951
127.28529231851253,114.0480354643292
127.20907277120911,115.17707585977453
127.12475068805142,117.61139544540261
127.12477112142336,121.03142563536096
127.21110716241299,124.5155720420647
127.28172363435873,126.80689653832022
127.2719672549269,125.41904459256014
127.28827127485933,125.03255286524676
127.41714990450367,124.90367423560241
127.55477970606589,124.7660444340402
127.5806551045219,124.74016903558419
127.5058380106207,124.81498612948538
126.41825662105698,124.92191610414447
125.29647498148003,125.0218307753517
128.90140198391853,125.15189892032691
132.06197603060872,125.24808135014328
134.5566674447104,125.24768598329511
136.6780561700661,125.1705993437897
138.25338623829523,125.07763901251207
138.74768126461123,125.07911410440694
138.7554570604223,125.07133830859587
138.8675115583264,125.65813332276086
138.9708234330257,126.75312582530535
138.92287370101906,128.52617372908685
138.79081738555797,130.96913688376043
138.67907898487445,134.23290217684269
138.68266488463314,136.5959468423439
138.7933948434343,135.39349199165028
138.89238393604566,135.0785236428173
138.98708300241847,134.98382457644448
