value,direction
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
107.082865308575,-1
106.45439223480993,-1
105.83084270541985,-1
105.27423636300712,-1
104.8433518497011,-1
104.5882806550396,-1
104.54577093496702,-1
104.735776226613,1
105.15951642505802,1
105.79922336863486,1
106.61959295972393,1
107.57081336535019,1
108.59289810837856,1
109.62093634733337,1
110.59079075884175,1
111.44473349613041,1
112.1365162678941,1
112.63542116678863,1
112.9289299573802,1
113.02377297383664,1
112.94526355158023,-1
112.73497709247195,-1
112.44698175731561,-1
112.14295718174559,-1
111.88663696290378,-1
111.73807109007875,-1
111.74822059513096,1
111.95436703976415,1
112.37674668594829,1
113.0167098135385,1
113.85656942624124,1
114.86115269201488,1
115.9809163758364,1
117.1563478271653,1
118.32325826004487,1
119.41849536757685,1
120.38556486356632,1
121.17965868770953,1
121.77164061939501,1
122.15063318393784,1
122.32497468410358,1
122.32146078781156,-1
122.1829383441328,-1
121.96446629556509,-1
121.72838655653784,-1
121.53874510216326,-1
121.45556155930076,-1
121.52945912879952,1
121.79713448415188,1
122.27807226261487,1
122.9727975922901,1
123.86282271342644,1
124.91229242655285,1
126.07118135144701,1
127.27975736466358,1
128.47391248157524,1
129.5908849646785,1
130.57486149472723,1
131.38195895663975,1
131.984140810919,1
132.37171819313897,1
132.55421230748135,1
132.55950106233232,1
132.43132616070554,-1
132.22538331506965,-1
132.0043448224785,-1
131.83225910594632,-1
