upper_outer,upper_inner,middle,lower_inner,lower_outer
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
115.28678132658239,110.08625971844347,104.88573811030454,99.68521650216562,94.4846948940267
115.44235076607586,110.34419056364048,105.24603036120509,100.14787015876969,95.04970995633431
116.03179708457735,110.81923714634696,105.6066772081166,100.39411726988622,95.18155733165584
117.04307249141937,111.51159957229756,105.98012665317576,100.44865373405396,94.91718081493215
118.42198305380603,112.39983306718108,106.37768308055612,100.35553309393117,94.33338310730622
120.08275668667484,113.44562707808596,106.80849746949708,100.1713678609082,93.53423825231933
121.91875364904465,114.59875180681354,107.27874996458243,99.95874812235132,92.63874628012022
123.8116460480557,115.80137193494318,107.79109782183063,99.78082370871809,91.77054959560556
125.6402305037452,116.99233427383697,108.34443804392873,99.69654181402049,91.04864558411226
127.28963390911576,118.11181990840653,108.9340059076973,99.75619190698806,90.57837790627883
128.66054775090979,119.10617416676563,109.55180058262148,99.99742699847734,90.44305341433319
129.67757252249882,119.93243617185563,110.18729982121242,100.44216347056921,90.697027119926
130.29572502322048,120.56206245162903,110.82839988003758,101.09473730844613,91.36107473685466
130.50437915457337,120.98343793282345,111.46249671107351,101.94155548932358,92.42061426757365
130.32821912788748,121.20291548583266,112.07761184377785,102.95230820172303,93.82700455966821
129.82512393470358,121.24429316044572,112.66346238618786,104.08263161193,95.50180083767214
129.0812497442421,121.14681465463833,113.21237956503458,105.27794447543083,97.34350938582706
128.20390619100422,120.96194997271174,113.71999375441925,106.47803753612676,99.23608131783428
127.31306469234063,120.74934474691088,114.18562480148113,107.62190485605137,101.05818491062162
126.53231715555852,120.57232996899265,114.61234278242678,108.65235559586091,102.69236840929504
125.97953405782015,120.49311390979311,115.00669376176609,109.52027361373906,104.03385346571203
125.7563856500273,120.56725035094631,115.37811505186532,110.18897975278433,104.99984445370335
125.93578705987545,120.83693963290784,115.73809220594025,110.63924477897265,105.54039735200504
126.54962545900888,121.3243792534015,116.09913304779413,110.87388684218675,105.64864063657937
127.58328650420142,122.02846844468516,116.47365038516888,110.9188323256526,105.36401426613634
128.98050368815004,122.92667844937398,116.87285321059791,110.81902797182184,104.76520273304578
130.65406780761754,123.97990662155195,117.30574543548636,110.63158424942077,103.95742306335518
132.49645112780837,125.13738636266474,117.7783215975211,110.41925683237746,103.06019206723381
134.38892887265897,126.34098012956574,118.29303138647252,110.2450826433793,102.19713390028608
136.21040535734744,127.52948308902522,118.84856082070301,110.16763855238081,101.48671628405859
137.84663929676972,128.64329445900157,119.4399496212334,110.23660478346522,101.03325994569707
139.19945460275903,129.62924445072505,120.05903429869107,110.4888241466571,100.91861399462312
140.19500555470216,130.4450914641025,120.69517737350284,110.9452632829032,101.19534919230354
140.79015691470312,131.0631872524836,121.33621759026406,111.60924792804452,101.882278265825
140.97626533174224,131.47291078910342,121.96955624646463,112.46620170382583,102.96284716118704
140.77995945870038,131.68162102788128,122.58328259706217,113.48494416624307,104.38660573542396
140.260857095986,131.71404745092474,123.16723780586344,114.62042816080215,106.07361851574085
139.50650532565697,131.61021386488144,123.71392240410593,115.81763094333041,107.92133948255488
138.6251564861944,131.42216134093076,124.21916619566711,117.01617105040346,109.8131759051398
137.7372262869926,131.20986352762836,124.68250076826413,118.1551380088999,111.62777524953566
136.966237758259,131.03671954679353,125.10720133532806,119.17768312386258,113.2481649123971
136.4294479713793,130.96472107116085,125.49999417094243,120.035267270724,114.57054037050557
136.22726554012084,131.0488606559664,125.87045577181196,120.69205088765753,115.5136460035031
136.43060069072004,131.33037905402657,126.23015741733309,121.12993578063961,116.02971414394614
137.06878377954152,131.83020766060457,126.59163154166765,121.35305542273072,116.11447930379379
138.1246506590602,132.5459514538921,126.96725224872398,121.38855304355587,115.80985383838777
139.53989769929848,133.45401383480322,127.36812997030798,121.28224610581273,115.19636224131749
141.2259121902239,134.5145155972817,127.80311900433946,121.09172241139724,114.38032581845502
143.07430661727872,135.67616660203407,128.27802658678945,120.87988657154482,113.48174655630018
144.96598686097414,136.88054050478016,128.79509414858614,120.70964779239215,112.62420143619813
146.77999404812755,138.06639557169666,129.35279709526574,120.63919861883484,111.92560014240392
148.4027479118816,139.1743644531684,129.94598099445523,120.71759753574204,111.48921407702886
149.73723100643338,140.15177650619918,130.56632200596502,120.98086750573086,111.39541300549668
150.71117162894672,140.95712102729476,131.20307042564278,121.44901982399081,111.69496922233884
151.28329448947406,141.56365270695193,131.8440109244298,122.12436914190766,112.40472735938555
151.44694145155924,141.96174757944243,132.47655370732565,122.99135983520885,113.50616596309206
151.23067836293382,142.1597687426069,133.08885912227996,124.01794950195303,114.9470398816261
150.69584577480222,142.18337051792543,133.6708952610486,125.15842000417179,116.64594474729496
149.9313587583977,142.07334641903861,134.21533407967956,126.3573217403205,118.49930940096144
149.04638529169472,141.88229564127465,134.71820599085456,127.55411634043448,120.3900266900144
148.16175684927975,141.67050565229067,135.17925445530156,128.68800325831245,122.19675206132335
