mm8_8,mm7_8,mm6_8,mm5_8,mm4_8,mm3_8,mm2_8,mm1_8,mm0_8
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
115.1642566915892,112.95449980529774,110.74474291900628,108.53498603271483,106.32522914642337,104.11547226013192,101.90571537384047,99.695958487549,97.48620160125755
115.1642566915892,112.8121121622524,110.4599676329156,108.10782310357882,105.75567857424203,103.40353404490523,101.05138951556845,98.69924498623165,96.34710045689485
115.1642566915892,112.76100155833157,110.35774642507394,107.95449129181631,105.55123615855868,103.14798102530106,100.74472589204343,98.3414707587858,95.93821562552817
115.1642566915892,112.76100155833157,110.35774642507394,107.95449129181631,105.55123615855868,103.14798102530106,100.74472589204343,98.3414707587858,95.93821562552817
115.1642566915892,112.76100155833157,110.35774642507394,107.95449129181631,105.55123615855868,103.14798102530106,100.74472589204343,98.3414707587858,95.93821562552817
115.1642566915892,112.76100155833157,110.35774642507394,107.95449129181631,105.55123615855868,103.14798102530106,100.74472589204343,98.3414707587858,95.93821562552817
115.1642566915892,112.76100155833157,110.35774642507394,107.95449129181631,105.55123615855868,103.14798102530106,100.74472589204343,98.3414707587858,95.93821562552817
114.55977666009171,112.23208153077127,109.90438640145084,107.57669127213039,105.24899614280994,102.9213010134895,100.59360588416905,98.26591075484862,95.93821562552817
112.72390874531129,110.6256971053384,108.52748546536552,106.42927382539263,104.33106218541974,102.23285054544684,100.13463890547395,98.03642726550106,95.93821562552817
115.26697281350663,112.85087816500932,110.43478351651201,108.0186888680147,105.6025942195174,103.1864995710201,100.77040492252279,98.35431027402548,95.93821562552817
118.47543335247398,115.65828113660575,112.84112892073753,110.02397670486931,107.20682448900108,104.38967227313285,101.57252005726463,98.7553678413964,95.93821562552817
121.38046215528227,118.20018133906301,115.01990052284376,111.83961970662449,108.65933889040522,105.47905807418596,102.29877725796669,99.11849644174744,95.93821562552817
123.36781277048146,119.9391131273623,116.51041348424314,113.08171384112399,109.65301419800483,106.22431455488565,102.79561491176649,99.36691526864733,95.93821562552817
124.2878498649492,120.74414558502157,117.20044130509393,113.65673702516631,110.11303274523868,106.56932846531106,103.02562418538344,99.4819199054558,95.93821562552817
124.2878498649492,120.74414558502157,117.20044130509393,113.65673702516631,110.11303274523868,106.56932846531106,103.02562418538344,99.4819199054558,95.93821562552817
124.2878498649492,120.74414558502157,117.20044130509393,113.65673702516631,110.11303274523868,106.56932846531106,103.02562418538344,99.4819199054558,95.93821562552817
124.2878498649492,120.82046426271378,117.35307866047837,113.88569305824296,110.41830745600757,106.95092185377216,103.48353625153675,100.01615064930134,96.54876504706593
124.2878498649492,120.99346670940606,117.69908355386293,114.4047003983198,111.11031724277667,107.81593408723354,104.52155093169041,101.22716777614728,97.93278462060415
124.2878498649492,121.28381158193423,118.27977329891928,115.27573501590433,112.27169673288938,109.26765844987442,106.26362016685947,103.2595818838445,100.25554360082955
124.2878498649492,121.58416359344622,118.88047732194323,116.17679105044024,113.47310477893726,110.76941850743428,108.06573223593129,105.36204596442832,102.65835969292533
124.2878498649492,121.96568629935095,119.64352273375272,117.32135916815449,114.99919560255626,112.67703203695801,110.35486847135978,108.03270490576153,105.7105413401633
124.2878498649492,122.31628786947962,120.34472587401005,118.37316387854048,116.40160188307092,114.43003988760135,112.45847789213178,110.48691589666221,108.51535390119264
124.2878498649492,122.15035909084796,120.01286831674672,117.87537754264548,115.73788676854423,113.60039599444299,111.46290522034175,109.32541444624052,107.18792367213928
124.2878498649492,122.06395825118408,119.84006663741896,117.61617502365384,115.39228340988873,113.16839179612361,110.9445001823585,108.72060856859338,106.49671695482826
124.2878498649492,122.03535199309127,119.78285412123333,117.5303562493754,115.27785837751748,113.02536050565953,110.77286263380161,108.52036476194367,106.26786689008574
124.2878498649492,122.03535199309127,119.78285412123333,117.5303562493754,115.27785837751748,113.02536050565953,110.77286263380161,108.52036476194367,106.26786689008574
124.2878498649492,122.03535199309127,119.78285412123333,117.5303562493754,115.27785837751748,113.02536050565953,110.77286263380161,108.52036476194367,106.26786689008574
124.22410945235427,121.97957913207071,119.73504881178714,117.49051849150356,115.24598817122,113.00145785093645,110.75692753065287,108.5123972103693,106.26786689008574
123.88697089091687,121.68458289081298,119.48219489070908,117.2798068906052,115.0774188905013,112.87503089039741,110.67264289029353,108.47025489018964,106.26786689008574
123.33523703654073,121.20181576823386,119.06839449992698,116.9349732316201,114.80155196331324,112.66813069500637,110.5347094266995,108.40128815839262,106.26786689008574
