up,down
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
42.857142857142854,100
35.714285714285715,100
28.571428571428573,92.85714285714286
21.428571428571427,85.71428571428571
14.285714285714286,78.57142857142857
7.142857142857143,71.42857142857143
0,64.28571428571429
0,57.142857142857146
100,50
100,42.857142857142854
100,35.714285714285715
100,28.571428571428573
100,21.428571428571427
92.85714285714286,14.285714285714286
85.71428571428571,7.142857142857143
78.57142857142857,0
71.42857142857143,0
64.28571428571429,0
57.142857142857146,0
50,0
42.857142857142854,0
35.714285714285715,100
28.571428571428573,100
21.428571428571427,100
14.285714285714286,92.85714285714286
7.142857142857143,85.71428571428571
0,78.57142857142857
0,71.42857142857143
0,64.28571428571429
100,57.142857142857146
100,50
100,42.857142857142854
100,35.714285714285715
100,28.571428571428573
100,21.428571428571427
92.85714285714286,14.285714285714286
85.71428571428571,7.142857142857143
78.57142857142857,0
71.42857142857143,0
64.28571428571429,0
57.142857142857146,0
50,0
42.857142857142854,100
35.714285714285715,100
28.571428571428573,92.85714285714286
21.428571428571427,85.71428571428571
14.285714285714286,78.57142857142857
7.142857142857143,71.42857142857143
0,64.28571428571429
0,57.142857142857146
100,50
100,42.857142857142854
100,35.714285714285715
100,28.571428571428573
100,21.428571428571427
100,14.285714285714286
92.85714285714286,7.142857142857143
85.71428571428571,0
78.57142857142857,0
71.42857142857143,0
64.28571428571429,0
57.142857142857146,0
50,0
42.857142857142854,100
35.714285714285715,100
28.571428571428573,92.85714285714286
