asia,eu,us
3,0,0
6.777310910232245,0,0
10.139149598944584,0,0
12.76487377959927,0,0
14.904031771297355,0,0
16.45148509543229,0,0
17.164256691589202,0,0
17.164256691589202,0,0
17.164256691589202,0,0
17.164256691589202,0,0
17.164256691589202,0,0
17.164256691589202,0,0
17.164256691589202,0,0
17.678055090331654,0,0
18.81715623469435,0,0
19.22604106606103,0,0
19.22604106606103,0,0
19.22604106606103,0,0
19.22604106606103,0,0
19.22604106606103,0,0
19.22604106606103,0,0
19.22604106606103,0,0
19.328757187978454,0,0
22.537217726945812,0,0
25.4422465297541,0,0
27.42959714495329,0,0
28.34963423942102,0,0
28.34963423942102,0,0
28.34963423942102,0,0
28.34963423942102,0,0
28.34963423942102,0,0
28.34963423942102,0,0
28.34963423942102,0,0
28.34963423942102,0,0
28.34963423942102,0,0
28.34963423942102,0,0
28.34963423942102,0,0
28.34963423942102,0,0
28.34963423942102,0,0
28.34963423942102,0,0
28.34963423942102,0,0
28.34963423942102,0,0
28.34963423942102,0,0
31.20216855945698,0,0
34.27133787016156,0,0
36.51492050792744,0,0
38.38465881783644,0,0
39.11490452032284,0,0
39.12724526722782,0,0
39.12724526722782,0,0
39.12724526722782,0,0
39.12724526722782,0,0
39.12724526722782,0,0
39.12724526722782,0,0
39.12724526722782,0,0
39.12724526722782,0,0
39.12724526722782,0,0
39.12724526722782,0,0
39.12724526722782,0,0
39.12724526722782,0,0
39.12724526722782,0,0
39.12724526722782,0,0
39.12724526722782,0,0
39.12724526722782,0,0
40.859722031367184,0,0
44.11647850787374,0,0
46.610774555127236,0,0
48.655076640977526,0,0
50.13744637792904,0,0
50.633216496139895,0,0
50.633216496139895,0,0
50.633216496139895,0,0
50.633216496139895,0,0
50.633216496139895,0,0
50.633216496139895,0,0
50.633216496139895,0,0
50.633216496139895,0,0
50.633216496139895,0,0
50.633216496139895,0,0
50.633216496139895,0,0
