pp,r1,r2,r3,r4,s1,s2,s3,s4
99.66666666666667,100.275,100.55,100.825,101.65,99.725,99.45,99.175,98.35
103.16267454598328,103.7780337561168,104.10086544562022,104.42369713512362,105.39219220363384,103.13237037710999,102.80953868760658,102.48670699810317,101.51821192959295
106.46632396532765,106.96961867057054,107.29281260719073,107.61600654381093,108.58558835367148,106.32323079733017,106.00003686070998,105.67684292408978,104.70726111422923
109.30969002905226,109.60221419837052,109.8711593004662,110.14010440256189,110.94693970884894,109.06432399417915,108.79537889208346,108.52643378998778,107.71959848370072
111.45910647185464,111.57257823345337,111.82476560723448,112.0769529810156,112.83351510235893,111.06820348589115,110.81601611211003,110.56382873832892,109.80726661698559
112.74199773788952,112.76387649333724,113.05280312063391,113.3417297479306,114.20850962982065,112.18602323874386,111.89709661144718,111.60816998415049,110.74139010226044
113.06847380764877,113.09245340010824,113.44643049143453,113.80040758276081,114.86233885673968,112.38449921745567,112.03052212612938,111.6765450348031,110.61461376082423
112.44424589558567,112.49132701898097,112.85056037147318,113.2097937239654,114.28749378144207,111.77286031399652,111.4136269615043,111.05439360901208,109.97669355153542
110.97251301246604,111.05574857922898,111.35686535294643,111.6579821266639,112.56133244781628,110.45351503179404,110.15239825807659,109.85128148435912,108.94793116320673
108.84406406881523,108.97799635816386,109.18219391398941,109.38639146981497,109.99898413729163,108.56960124651275,108.3654036906872,108.16120613486164,107.54861346738498
106.3166460187776,106.68075955248203,106.95031902436538,107.21987849624873,108.02855691189879,106.14164060871532,105.87208113683197,105.60252166494863,104.79384324929856
103.68631980047041,104.26141987598294,104.60029669339836,104.93917351081379,105.95580396306005,103.58366624115209,103.24478942373666,102.90591260632124,101.88928215407498
101.25473880483469,101.92448274323586,102.27416991942023,102.6238570956046,103.67291862415775,101.2251083908671,100.87542121468273,100.52573403849836,99.47667250994522
99.29680919958425,99.92444295706736,100.22654750597445,100.52865205488155,101.43496570160283,99.32023385925316,99.01812931034607,98.71602476143897,97.80971111471769
98.03294152441634,98.57027723602701,98.8563121961899,99.1423471563528,100.0004520368415,97.99820731570122,97.71217235553833,97.42613739537543,96.56803251488674
97.60915371740403,98.02044583881464,98.31619285428026,98.61193986974587,99.4991809161427,97.42895180788342,97.1332047924178,96.83745777695219,95.95021673055535
98.08685392291113,98.32478270657958,98.61121150151759,98.89764029645558,99.75692668126956,97.7519251167036,97.4654963217656,97.17906752682761,96.31978114201362
99.44252381095095,99.53703350309051,99.83221382945834,100.12739415582618,101.01293513492969,98.94667285035483,98.651492523987,98.35631219761916,97.47077121851565
101.57606521173501,101.5422908444415,101.81222656444285,102.08216228444422,102.89196944444832,101.00241940443875,100.7324836844374,100.46254796443603,99.65274080443193
104.32553529275576,104.32926258320965,104.66538059239568,105.0014986015817,106.00985262913977,103.65702656483761,103.32090855565158,102.98479054646556,101.97643651890749
107.48553552770288,107.55689891578143,107.90795281355214,108.25900671132284,109.31216840463496,106.85479112024004,106.50373722246933,106.15268332469863,105.09952163138651
110.82665131417549,110.9725900160979,111.2770410273523,111.5814920386067,112.49484507236991,110.3636879935891,110.0592369823347,109.7547859710803,108.84143293731708
114.11393840247109,114.3269385068177,114.53846337850163,114.74998825018555,115.38456286523734,113.90388876344986,113.69236389176592,113.480839020082,112.84626440503021
117.12329605763098,117.54705712667621,117.80971660947044,118.07237609226466,118.86035454064734,117.02173816108777,116.75907867829353,116.49641919549931,115.70844074711664
119.6553939855807,120.27872556278697,120.62077248708242,120.96281941137788,121.98896018426422,119.59463171419608,119.25258478990064,118.91053786560518,117.88439709271884
121.54740034135453,122.24423032717334,122.60846088659929,122.97269144602525,124.0653831243031,121.51576920832144,121.1515386488955,120.78730808946953,119.69461641119169
122.68295119326267,123.3073924174329,123.62935138111975,123.95131034480659,124.91718723586712,122.66347449005922,122.34151552637236,122.01955656268552,121.05367967162499
123.0005912206809,123.44138791563655,123.68387772282226,123.92636753000795,124.65383695156505,122.95640830126517,122.71391849407946,122.47142868689377,121.74395926533667
122.50041000814686,122.8043699910581,123.0627509012334,123.32113181140869,124.09627454193458,122.28760817070751,122.02922726053221,121.77084635035692,120.99570361983103
121.2480003897514,121.43656394581242,121.743435590803,122.0503072357936,122.97092217076536,120.82282065583124,120.51594901084066,120.20907736585006,119.2884624308783
119.37441415670385,119.4508496779621,119.78051450350664,120.11017932905116,121.09917380568476,118.79152002687304,118.4618552013285,118.13219037578398,117.14319589915038
117.0706953893436,117.04388229553408,117.34322035599752,117.64255841646096,118.54057259785128,116.4452061746072,116.14586811414375,115.84653005368031,114.94851587228999
114.57595201454465,114.56429357775264,114.87185496773508,115.17941635771751,116.10210052766485,113.94917079778776,113.64160940780532,113.33404801782288,112.41136384787555
112.1587734147477,112.25441963456801,112.58419820688923,112.91397677921046,113.90331249617411,111.59486248992557,111.26508391760436,110.93530534528313,109.94596962831947
110.09297423674845,110.29889128757917,110.59652945109374,110.89416761460834,111.78708210515208,109.70361496054998,109.40597679703541,109.10833863352082,108.21542414297707
108.62989574587948,108.96069883714864,109.218355274014,109.47601171087935,110.24898102147542,108.44538596341795,108.18772952655259,107.93007308968724,107.15710377909117
107.97053212992039,108.44066080423896,108.69068390914283,108.94070701404672,109.69077632875835,107.94061459443121,107.69059148952734,107.44056838462345,106.69049906991182
